feature,importance_mean,importance_std
bp cuff [systolic]__last,0.08346433372573762,0.012291213513001257
hemoglobin__min,0.06395139258788436,0.017557330189616135
"hematocrit, calculated__max",0.046992063882833654,0.00887509494246966
potassium__mean,0.044903144755433534,0.0068798648894515075
"hematocrit, calculated__last",0.04300028199401096,0.009576820753466879
heart rate__min,0.041727131255529806,0.006520025398649816
white blood cells__mean,0.03992296639795172,0.011033691856055102
arterial bp [systolic]__mean,0.037812860418932684,0.005916008528763774
white blood cells__last,0.03704185298413818,0.0101908584391524
pap [systolic]__mean,0.0362563728408434,0.00721144726448059
respiratory rate__std,0.035931408313899585,0.007589266574207248
white blood cells__min,0.0357701942774612,0.008660754068723102
pap [diastolic]__std,0.03492667409698504,0.008211689224940989
var_pap [systolic]__std,0.03482536513748322,0.008364278915820823
"temp/iso/warmer [temperature, degrees c]__last",0.034092702920055395,0.009574049149366137
var_bp cuff [diastolic]__std,0.03291563902976154,0.010501385060117299
"hematocrit, calculated__range",0.030342555581914742,0.009452109224366222
smoking cessation info offered through bidmc inpatient guide__max,0.029133189203061006,0.004240168893911556
var_pap [systolic]__cv,0.028522873593573507,0.007807110106075946
currently experiencing pain__mean,0.02842962160581408,0.004351362365788662
nbp [systolic]__mean,0.02581282162610572,0.0038393813558453174
var_respiratory rate__std,0.025491960186623298,0.0054897928358449075
hemoglobin__mean,0.022582572770121122,0.012372073517937824
creatinine__min,0.020124301169603686,0.003346917728177567
ck-mb index__mean,0.018054554650886855,0.002826401490134407
"hematocrit, calculated__std",0.016769840665923554,0.012307215939073768
currently experiencing pain__min,0.01574794808326132,0.00875971325633498
spo2__range,0.015482590226893267,0.0024401230980851596
respiratory rate set__max,0.013697523376408217,0.003406254629310884
temperature fahrenheit__min,0.013687153755369419,0.002684308070384746
respiratory rate set__mean,0.01325394232103445,0.002121807769036563
pap [systolic]__range,0.013223579473820002,0.004800760889635759
var_respiratory rate set__std,0.012866387059906548,0.0032045794484309425
"temp/iso/warmer [temperature, degrees c]__range",0.012511656498469881,0.0043268547098447175
bp cuff [systolic]__max,0.011979896363470832,0.007617435522581895
atrial pacemaker threshold [value]__mean,0.011644263809127354,0.004841138797874905
arterial bp [diastolic]__mean,0.01163456560240037,0.0036800200686291627
lactate__range,0.011443287125108314,0.0019430134847270308
var_heart rate__std,0.011439333240827331,0.003038793436501922
pap [systolic]__std,0.010979563640378531,0.00747581918094572
"potassium, whole blood__max",0.01076933635917381,0.004945392158989558
temperature f__std,0.010746806678931109,0.0021279585364510968
"sodium, urine__mean",0.010666609969458073,0.0057909304004195306
var_bp cuff [diastolic]__cv,0.010658403794535221,0.006856070151067158
var_white blood cells__std,0.010601482781206917,0.003258102244331498
var_systolic unloading__std,0.01048644712910698,0.00145512535698804
"temp/iso/warmer [temperature, degrees c]__max",0.010176179115434003,0.007410066465233465
respiratory rate set__last,0.010106202823819332,0.003311307081969599
smoking cessation info offered through bidmc inpatient guide__mean,0.009933425540898799,0.0020479493509329956
vent sens thresh mv__mean,0.009894781917171303,0.004834477309830252
temperature f (calc)__min,0.009847782915340586,0.0030904245717164863
temperature f (calc)__max,0.009644866589976186,0.0030393915986902157
ventricular pacemaker threshold [value]__max,0.009593764500684032,0.004224229735331763
heart rate__max,0.009592496273650507,0.005274684413029369
bp cuff [systolic]__range,0.009346460229146203,0.005467043193274482
bicarbonate__min,0.009079983348925014,0.0026062539506225427
systolic unloading__mean,0.008851180271758663,0.0011451997364585712
bp cuff [systolic]__mean,0.007960362683090949,0.0062413161515726505
var_pap [diastolic]__cv,0.007954469157464538,0.006606688833745445
"potassium, whole blood__mean",0.007535805033220044,0.007110889621599526
