feature,importance_mean,importance_std
bp cuff [systolic]__last,0.08023132461091546,0.011955928940793437
chloride__last,0.061024100789732486,0.006308135659952915
bp cuff [diastolic]__mean,0.05529096858228637,0.011949587196604373
sodium__min,0.0539191945415509,0.008318589405860784
sodium__max,0.05283836670262465,0.007748740251277215
hr alarm [low]__mean,0.0492394367878346,0.013889120088209382
"temp/iso/warmer [temperature, degrees c]__last",0.04541327042927255,0.008903323895076205
"sodium, whole blood__last",0.04236803351700251,0.011202292287414201
var_spo2__std,0.04115620528567192,0.005257570852880607
"potassium, whole blood__min",0.03897142311485515,0.007050150105049308
potassium__mean,0.038404301826097796,0.006963274040494215
white blood cells__mean,0.03777093432523613,0.01112898958914614
temperature c (calc)__mean,0.0361981836004817,0.007812315129095201
bicarbonate__max,0.0340320518272168,0.006483138484120869
"chloride, whole blood__last",0.03384241458490933,0.011450718606427709
spon rr (mech.)__last,0.03333124448880762,0.0072866368080242066
"hematocrit, calculated__last",0.033296181741410066,0.009839045607952944
var_arterial bp [diastolic]__std,0.03300493713323997,0.006030538521411122
hemoglobin__min,0.03223624234774196,0.01238246999134063
var_pap [diastolic]__std,0.03210912123802838,0.007584183133366111
temperature c (calc)__min,0.03204362104182616,0.005241570437109979
white blood cells__last,0.031783410695182465,0.0077278747216463165
temperature c (calc)__max,0.031064698975123428,0.0051596777044666375
"hematocrit, calculated__range",0.03046355936123135,0.007874628120785673
arterial bp [systolic]__mean,0.03029033446876963,0.004214257113554978
pap [systolic]__mean,0.030035346233440396,0.006169343127350151
hemoglobin__max,0.029129235318780134,0.01222690365061888
"potassium, whole blood__mean",0.028507207259630008,0.00963705544425068
var_bp cuff [diastolic]__std,0.028497210646542204,0.0082611474853923
white blood cells__min,0.02846214789914465,0.006344439690669723
temperature fahrenheit__mean,0.02817299213550044,0.006732532221256403
arterial bp [systolic]__std,0.027734036378719518,0.0050047674177213924
hr alarm [high]__last,0.02766599972845025,0.00870438941740263
bicarbonate__last,0.027663463274383248,0.005231135416873142
lactate dehydrogenase (ld)__mean,0.02750262224589588,0.006241937762103648
temperature f__max,0.027443836192812387,0.00489579301186128
temperature f__min,0.027441150535564906,0.005152198117697501
spo2 alarm [low]__last,0.02743100471929665,0.006565092513693568
bicarbonate__min,0.02711021788140442,0.004629042270163198
