feature,importance_mean,importance_std
BP Cuff [Systolic]__last,0.0778382548002393,0.01156064090470046
BP Cuff [Diastolic]__mean,0.07567331665241775,0.011485665924376023
Potassium__mean,0.06759761991086599,0.006652803230563998
"Sodium, Whole Blood__last",0.0503168329536112,0.013925272757166674
Chloride__last,0.04501415192166234,0.006048165044912635
Temperature C (calc)__mean,0.04500758698172409,0.008827604638511365
Sodium__min,0.044176003055681076,0.008847190429014168
Temperature Fahrenheit__mean,0.043961821890195395,0.007310244733081968
"Temp/Iso/Warmer [Temperature, degrees C]__last",0.04389617249081283,0.008763992272680888
Sodium__max,0.04341685727372961,0.0069685423783981395
SpO2 Desat Limit__min,0.03931279999164463,0.007046961326201092
White Blood Cells__mean,0.03815543092116551,0.011507497056383304
White Blood Cells__min,0.037163304372996045,0.008549264226683551
Lactate Dehydrogenase (LD)__mean,0.036841995323972296,0.009720342389795491
SpO2 Alarm [High]__min,0.03419356427001594,0.010116142734467386
SpO2 Alarm [High]__max,0.03200825988806773,0.009943503432822123
"Sodium, Whole Blood__mean",0.03150842923367754,0.014233640231145542
"Potassium, Whole Blood__min",0.03071809998701931,0.00735800789661614
SpO2 Desat Limit__max,0.03034113815170081,0.006412075049307385
HR Alarm [Low]__mean,0.030068245534721826,0.011057961054987029
SpO2 Alarm [Low]__last,0.029760215568755077,0.008688155181940571
"Chloride, Whole Blood__last",0.02972134814025691,0.013141510628469162
SpO2__last,0.028762792307680817,0.007249722165478734
Arterial Blood Pressure diastolic__mean,0.02863596960432808,0.007906332824696407
SpO2 Desat Limit__last,0.028512280167764015,0.0040482858047032905
"Hematocrit, Calculated__mean",0.02795515549209444,0.009498173998048266
Temperature F__min,0.02768994683890682,0.005767641424429655
Temperature F__max,0.027511872843081497,0.005523950365075068
O2 Saturation Pulseoxymetry Alarm - Low__min,0.027500458799779758,0.005779972141438791
Temperature F__mean,0.027423395357095436,0.008486049777578294
Spon RR (Mech.)__last,0.026905138109923944,0.00647035186966488
Bicarbonate__max,0.026776524968406233,0.004067343054474302
White Blood Cells__max,0.02658457507680232,0.008605454378222598
Temperature Fahrenheit__last,0.026141516232559982,0.004137900742556657
Temperature C (calc)__min,0.02595187899025255,0.004587394616991165
Bicarbonate__min,0.02539169564938446,0.003313398537785652
Temperature C (calc)__max,0.02529143111214558,0.00446833876143019
Heart Rate__std,0.024956246167343286,0.005290507390392929
HR Alarm [High]__last,0.02448319748383756,0.008648559593403122
Heart rate Alarm - High__min,0.02373061664182432,0.006835620834772845
"Creatinine, Urine__mean",0.02261368163323767,0.005268730721806142
"Hematocrit, Calculated__range",0.02169078536078075,0.008477795921788133
"Potassium, Whole Blood__mean",0.020592053140204715,0.009547037512418267
Sodium__last,0.02016152736311727,0.005754424763829628
HR Alarm [High]__min,0.019268322523562854,0.007848120061274421
Respiratory Rate (Total)__min,0.019157315357334136,0.007074704502805237
Non Invasive Blood Pressure diastolic__min,0.018872635689102336,0.005540271551098571
Creatinine__mean,0.018521038394454382,0.004015308296423301
"Sodium, Urine__mean",0.01797376112869222,0.005996008206226783
NBP [Systolic]__mean,0.017918033740807204,0.005425901745814892
"Chloride, Whole Blood__min",0.017807026574578423,0.010073710836289416
SpO2 Alarm [Low]__max,0.017694825782906355,0.006396982088604674
Temperature Celsius__mean,0.017103011367790265,0.004473068203881207
HR Alarm [High]__max,0.016990362966576987,0.00746541406642798
"Chloride, Whole Blood__max",0.01665383519315098,0.010306923366121927
SpO2 Alarm [Low]__min,0.016521417370532678,0.0066538772755561715
SpO2__min,0.016461736098366674,0.003683449188467206
SpO2 Alarm [High]__last,0.016337300645900554,0.005567999479382959
SpO2 Desat Limit__mean,0.016254716685540814,0.005329428586200307
SpO2 Alarm [High]__mean,0.015889840307836044,0.005853836487066522
PAP [Diastolic]__mean,0.015830830449981882,0.006393432100618874
Lactate__mean,0.015598148090124674,0.006023601658050982
Hematocrit__max,0.015531006658937918,0.009269297205664766
Hematocrit__min,0.014698079904271234,0.006661196799336236
White Blood Cells__last,0.014555143257433656,0.005698586383231913
PAP [Systolic]__range,0.014277550740271571,0.0076643935696360755
