target,xgb_feature,feature_name,gain,gain_frac,rank_within_target
mortality,f59,phosphate__measured,853.0155029296875,0.048051574133304124,1.0
mortality,f61,"calcium, total__measured",560.3976440429688,0.03156799477193009,2.0
mortality,f43,alkaline phosphatase__measured_y,195.64859008789062,0.01102116280231267,3.0
mortality,f449,glucose (70-105)__measured,167.9893798828125,0.009463080229284094,4.0
mortality,f1037,uric acid__measured_x,142.6270751953125,0.008034385604512065,5.0
mortality,f39,alanine aminotransferase (alt)__measured,115.07398223876953,0.00648228076672663,6.0
mortality,f1094,bp uac [systolic]__measured,110.41580963134766,0.006219879291486726,7.0
mortality,f1091,bp uac [mean]__measured,99.09033203125,0.0055818990617874,8.0
mortality,f40,asparate aminotransferase (ast)__measured,98.16867065429688,0.005529980568127717,9.0
mortality,f866,temporary atrial sens threshold mv__measured,95.00764465332031,0.005351915486424569,10.0
mortality,f784,pacer wires vent__measured,94.52256774902344,0.0053245904158401285,11.0
mortality,f480,calcium (8.4-10.2)__measured,82.58328247070312,0.004652033528328128,12.0
mortality,f780,pacer wires atrial__measured,81.3277587890625,0.00458130809712873,13.0
mortality,f879,temporary atrial stim threshold ma__measured,80.70503997802734,0.004546229462555396,14.0
mortality,f765,pa line cm mark__measured,79.01339721679688,0.00445093682453281,15.0
mortality,f18,age,78.69458770751953,0.004432977832325952,16.0
mortality,f844,temporary pacemaker wires venticular__measured,71.7837905883789,0.00404368282074633,17.0
mortality,f606,cpk__measured,68.73748016357422,0.003872079830287403,18.0
mortality,f960,venous o2 pressure__measured,68.42070007324219,0.0038542351581304906,19.0
mortality,f410,rdw__mean,65.66753387451172,0.0036991453980437868,20.0
mortality,f660,gender__measured,64.88924407958984,0.0036553032291155095,21.0
mortality,f1103,impaired skin length #3__measured,63.64081573486328,0.0035849774883162933,22.0
mortality,f990,picc line dressing occlusive__measured,62.760868072509766,0.003535408787412515,23.0
mortality,f841,pca lockout (min)__measured,62.54668045043945,0.003523343294622525,24.0
mortality,f620,cvp__measured,61.662818908691406,0.0034735541193367113,25.0
mortality,f856,atr stim thresh ma__measured,61.15574264526367,0.0034449897936243974,26.0
mortality,f863,temporary venticular sens threshold mv__measured,60.91416931152344,0.003431381624822095,27.0
mortality,f1194,delta p__measured,60.09857177734375,0.003385437857983187,28.0
mortality,f409,rdw__last,59.67777633666992,0.003361733853492003,29.0
mortality,f855,pca total dose__measured,59.157630920410156,0.0033324333238490328,30.0
mortality,f479,phosphorous(2.7-4.5)__measured,59.07600784301758,0.003327835380035764,31.0
mortality,f53,"sodium, whole blood__measured",58.60799026489258,0.003301471285510255,32.0
mortality,f796,atrial pacemaker [ma]__measured,57.63059616088867,0.0032464132882233415,33.0
mortality,f81,"creatinine, urine__measured",55.221858978271484,0.0031107257035303862,34.0
mortality,f1330,gentamicin post 5-10__measured,55.0544548034668,0.00310129558873385,35.0
mortality,f1093,bp uac [diastolic]__measured,54.78656005859375,0.003086204697479262,36.0
mortality,f46,albumin__measured_y,54.70598602294922,0.0030816658476767725,37.0
mortality,f554,arterial co2(calc)__measured,53.65737533569336,0.0030225961191635226,38.0
mortality,f440,anion gap__last_y,52.85775375366211,0.0029775523003869584,39.0
mortality,f484,mean airway pressure__measured,52.438961029052734,0.0029539611117345354,40.0
mortality,f464,arterial base excess__measured,51.7534065246582,0.002915342853359166,41.0
