target,xgb_feature,feature_name,gain,gain_frac,rank_within_target
mortality,f1014,urea nitrogen__mean,407.76544189453125,0.027824415475102178,1.0
mortality,f1349,urea nitrogen__count,241.8383331298828,0.016502159250053584,2.0
mortality,f24,bp cuff [diastolic]__mean,147.1572723388672,0.010041471554616105,3.0
mortality,f1343,"potassium, whole blood__count",134.75477600097656,0.009195170775838583,4.0
mortality,f1328,"hematocrit, calculated__count",133.520751953125,0.00911096550907012,5.0
mortality,f478,temporary atrial sens threshold mv__max,123.96823120117188,0.00845913659242145,6.0
mortality,f1292,urea nitrogen__last,122.38164520263672,0.008350873793580245,7.0
mortality,f740,atr stim thresh ma__count,120.46405029296875,0.008220024162891476,8.0
mortality,f25,bp cuff [systolic]__mean,109.27263641357422,0.007456363201120613,9.0
mortality,f118,temporary atrial sens threshold mv__mean,100.20244598388672,0.0068374467334048495,10.0
mortality,f0,age,96.87516784667969,0.0066104054989619895,11.0
mortality,f1214,"hematocrit, calculated__range",93.87260437011719,0.006405521599840761,12.0
mortality,f1345,sodium__count,90.31256866455078,0.006162597844169728,13.0
mortality,f1278,lactate dehydrogenase (ld)__last,90.1461410522461,0.00615124143542214,14.0
mortality,f1121,urea nitrogen__min,84.10427856445312,0.005738966939273769,15.0
mortality,f819,respiratory rate set__count,81.81438446044922,0.0055827129795272944,16.0
mortality,f1347,"sodium, whole blood__count",81.20932006835938,0.005541425608639566,17.0
mortality,f264,bp cuff [diastolic]__min,77.823974609375,0.005310422073519257,18.0
mortality,f1172,"potassium, whole blood__max",70.71990203857422,0.0048256662642558405,19.0
mortality,f372,arterial blood pressure diastolic__max,69.43598937988281,0.004738056781992719,20.0
mortality,f817,respiratory rate (spontaneous)__count,68.21707916259766,0.004654882827488351,21.0
mortality,f1249,bicarbonate__last,63.081573486328125,0.004304454789871009,22.0
mortality,f99,respiratory rate set__mean,62.80989074707031,0.0042859161580060786,23.0
mortality,f838,temporary atrial sens threshold mv__count,62.54188537597656,0.004267628456232665,24.0
mortality,f984,"creatinine, urine__mean",62.51142501831055,0.0042655499533480615,25.0
mortality,f358,temporary atrial sens threshold mv__min,61.135616302490234,0.00417166982180628,26.0
mortality,f1046,"hematocrit, calculated__std",60.61057662963867,0.004135843043719205,27.0
mortality,f1164,lactate dehydrogenase (ld)__max,60.365787506103516,0.004119139533374182,28.0
mortality,f770,heart rate__count,56.72246170043945,0.003870532367310858,29.0
mortality,f1126,"wbc, ascites__min",55.59617614746094,0.0037936787795617884,30.0
mortality,f20,atr stim thresh ma__mean,54.599273681640625,0.0037256538182794817,31.0
mortality,f384,bp cuff [diastolic]__max,53.306640625,0.0036374492881022457,32.0
mortality,f459,respiratory rate set__max,52.303462982177734,0.0035689961317986276,33.0
mortality,f1000,lactate dehydrogenase (ld)__mean,52.29492950439453,0.0035684138386298287,34.0
mortality,f95,respiratory rate__mean,51.144859313964844,0.003489937274614572,35.0
mortality,f1334,lactate__count,51.044498443603516,0.00348308901758376,36.0
mortality,f818,respiratory rate (total)__count,50.81743240356445,0.0034675948653354015,37.0
mortality,f815,respiratory rate__count,50.726593017578125,0.003461396319412914,38.0
mortality,f45,currently experiencing pain__mean,50.4681282043457,0.0034437596302524486,39.0
mortality,f120,temporary venticular sens threshold mv__mean,49.773353576660156,0.003396350762515976,40.0
mortality,f1290,"sodium, whole blood__last",49.363521575927734,0.0033683853326590715,41.0
mortality,f1163,lactate__max,48.720455169677734,0.0033245048439583913,42.0
mortality,f213,pulmonary artery pressure systolic__std,48.653045654296875,0.003319905066316083,43.0
mortality,f1408,wbc__measured,47.6466064453125,0.0032512293527217524,44.0
mortality,f1107,lactate dehydrogenase (ld)__min,47.50465393066406,0.0032415430347077427,45.0
mortality,f1419,0,47.140953063964844,0.003216725423934559,46.0
mortality,f1132,% hemoglobin a1c__max,46.56283187866211,0.00317727655847876,47.0
mortality,f1012,"sodium, whole blood__mean",46.315330505371094,0.003160387974176197,48.0
mortality,f1019,"wbc, ascites__mean",45.9206657409668,0.0031334575007963346,49.0
mortality,f92,pulmonary artery pressure diastolic__mean,44.42958068847656,0.0030317113356077363,50.0
