feature,importance_mean,importance_std
bp cuff [systolic]__last,0.08324209558850956,0.012496417121654271
hemoglobin__min,0.05710572686567381,0.01690541146058283
potassium__mean,0.041622390622878515,0.005430657402487565
"hematocrit, calculated__max",0.038894956484892454,0.007650292933673332
white blood cells__mean,0.03805785204117407,0.012094123857286868
"hematocrit, calculated__last",0.03763247377381094,0.009654983706830985
heart rate__min,0.03676455887333692,0.005600257277287375
pap [systolic]__mean,0.03484528376206868,0.0071579324009414256
white blood cells__last,0.032348368537823725,0.009561509438995409
white blood cells__min,0.03182630660955173,0.008692744671081923
pap [diastolic]__std,0.031494702541079354,0.008261659229707456
"temp/iso/warmer [temperature, degrees c]__last",0.03141264079185113,0.009905689223789734
var_pap [systolic]__std,0.03099144021353961,0.008275658301920757
arterial bp [systolic]__mean,0.030279517238189467,0.006554760775172428
"hematocrit, calculated__range",0.029120506932725766,0.008026923975389701
respiratory rate__std,0.02811435528559727,0.008477405193191422
var_bp cuff [diastolic]__std,0.028051018535511084,0.0095320485051986
currently experiencing pain__mean,0.026512211534301035,0.004045381199674795
smoking cessation info offered through bidmc inpatient guide__max,0.024951770071930834,0.003970715977008808
var_pap [systolic]__cv,0.02494013222385847,0.0073007879394803455
nbp [systolic]__mean,0.021876617921987605,0.004416346055726633
var_respiratory rate__std,0.02020293124568242,0.005625108550770197
hemoglobin__mean,0.01729436444667256,0.011178263777444809
creatinine__min,0.015599640121928826,0.0025195697638503217
"hematocrit, calculated__std",0.014694051418400033,0.01256575655008211
ck-mb index__mean,0.014597591562261768,0.00230500407941113
currently experiencing pain__min,0.013622772583020337,0.009028160913303973
bp cuff [systolic]__range,0.012962399306503603,0.0066272344683978145
"temp/iso/warmer [temperature, degrees c]__range",0.012464806699819619,0.00465367107365738
spo2__range,0.012410198335787714,0.0031074675335512397
var_respiratory rate set__std,0.012084114784990784,0.0035669604604611897
pap [systolic]__range,0.011887912602745021,0.004580606654411413
temperature fahrenheit__min,0.011273270101025457,0.0030405536201709975
var_bp cuff [diastolic]__cv,0.010335155104166206,0.005831630912490886
var_systolic unloading__std,0.01017782035041861,0.001620480304878156
bp cuff [systolic]__mean,0.010151635192255749,0.006308900502229806
pap [systolic]__std,0.010125748440453752,0.007110225978514974
bp cuff [systolic]__max,0.009917610003774825,0.006334148932415631
respiratory rate set__mean,0.009782058914367831,0.002483175519029775
vent sens thresh mv__mean,0.009762662500913843,0.004523163948383416
respiratory rate set__max,0.009756172162565835,0.003319442036587253
respiratory rate set__last,0.009679034118291251,0.0037704057407113305
temperature f (calc)__min,0.00940636530608283,0.0031575558244424148
heart rate__std,0.009318037023277182,0.002018325465126705
atrial pacemaker threshold [value]__mean,0.009308413418140437,0.0032882719648338883
temperature f (calc)__max,0.009192482546957948,0.0031947904535511305
var_arterial bp [diastolic]__std,0.0091427232862896,0.005654652801029262
ventricular pacemaker threshold [value]__max,0.008745022208893416,0.004156740709100637
arterial bp [diastolic]__mean,0.008603353789089363,0.004345624212863757
"temp/iso/warmer [temperature, degrees c]__max",0.008521068235090513,0.00646429486971319
smoking cessation info offered through bidmc inpatient guide__mean,0.008315913862019863,0.002000994113494107
lactate__range,0.007773187293260353,0.0016938827420575457
systolic unloading__mean,0.007607347958229061,0.0013568370738204056
var_pap [diastolic]__cv,0.007381081335129736,0.006318226472503367
var_bp cuff [systolic]__cv,0.007309016198989294,0.003906610505736232
heart rate__max,0.006701759254700246,0.005113037144524755
bicarbonate__range,0.0061885003140727205,0.003590500100175267
atr sens thresh mv__min,0.006070853606315452,0.003438573068103076
hr alarm [low]__min,0.005892257399358747,0.006182236249810109
respiratory rate set__std,0.005852942361319368,0.004268181527039826
atr stim thresh ma__mean,0.005795722941630199,0.0013167830386837064
bicarbonate__min,0.005794529316186891,0.0041415063941266225
respiratory rate set__min,0.005742606609402489,0.0006819681671665901
var_white blood cells__std,0.00573962254579421,0.0025060136223701546
urea nitrogen__mean,0.005704037587265232,0.0012329960713134934
var_bicarbonate__std,0.005246356831342247,0.0019765706037428023
temperature f__std,0.005153627054714294,0.0017943215294760572
systolic unloading__last,0.005099391698633449,0.001391073830413121
diastolic unloading__max,0.004796807648751833,0.0011480992143847566
vent stim thresh ma__mean,0.004785766613401155,0.004135719593284352
spo2__std,0.004549652580394392,0.0036635712217987083
ventricular pacemaker threshold [value]__min,0.004545400289752611,0.0034182607327970936
atr stim thresh ma__range,0.004517424693424777,0.0024281023830693732
"var_chloride, whole blood__std",0.0044975060688393406,0.0024439173821948976
bp uac [systolic]__last,0.004472439934529659,0.0013503801439439052
bp uac [diastolic]__min,0.004438197804624377,0.0013029012481474268
var_systolic unloading__cv,0.004226329288435071,0.0012261245482542153
"var_temp/iso/warmer [temperature, degrees c]__cv",0.004209767735409042,0.003332220128181348
hematocrit__range,0.004157173614312781,0.002950548065300982
med_abx_class_count,0.004079811765267593,0.003990408736887379
arterial bp [systolic]__last,0.004057132881844505,0.0022839240156483955
white blood cells__std,0.003787224328473826,0.005341219271737292
var_creatinine__std,0.003779465763092138,0.0026216653144187653
ck-mb index__range,0.003746491860220469,0.0014334161029855076
pap [diastolic]__range,0.003645555908669751,0.006561097393873718
lactate dehydrogenase (ld)__last,0.0035542435622557987,0.0013187176171701822
eth_OTHER,0.003523731511860895,0.0015981998873393012
bp left arm [systolic]__last,0.0035223886832371986,0.004891336532504392
current goal__mean,0.003497173345747018,0.0038692727513433027
bp uac [systolic]__range,0.0034251828111967696,0.0012839659860123867
bp right arm [diastolic]__min,0.003363039686553981,0.003952492674218114
lowest heart rate__min,0.0033086551272927035,0.001308741597339194
arterial bp [diastolic]__range,0.0031917544354375326,0.0026334161566615513
gait/transferring__min,0.003161391588223106,0.002450241431050931
manual bp [diastolic]__min,0.0029666814377815377,0.0015476569732980328
"chloride, urine__max",0.002938705841453726,0.0027383494951849336
"var_temp/iso/warmer [temperature, degrees c]__std",0.0029063287513036327,0.002836450886165568
var_creatine kinase (ck)__std,0.0029036430940561964,0.0020130346159366436
var_glucose__std,0.0028044975806704063,0.0028742612224907415
"potassium, whole blood__max",0.0027994992741265045,0.0024681786161140865
var_atr stim thresh ma__cv,0.0027563049533963825,0.0019904153829137317
atrial pacemaker threshold [value]__std,0.0026977427050834946,0.0020544447204865063
var_arterial bp #2 [systolic]__std,0.0026831953949930432,0.001507956334938081
bp uac [diastolic]__std,0.0025616694045450306,0.001137136664443982
creatine kinase (ck)__mean,0.00251683384883028,0.0005048367164854383
atr stim thresh ma__std,0.002441859250671774,0.0017066280945498755
