feature,importance_mean,importance_std
bp cuff [systolic]__last,0.08041253187352945,0.011403942234925347
bp cuff [diastolic]__mean,0.05472190765218361,0.00905001087461933
chloride__last,0.05148449704353906,0.00491436898453247
hr alarm [low]__mean,0.04218011211126984,0.013140998865362477
"temp/iso/warmer [temperature, degrees c]__last",0.0411697081734995,0.009089933254392361
sodium__min,0.04032126428806963,0.0064010010830316795
sodium__max,0.03930601124693582,0.006139084226811322
potassium__mean,0.03480820677173566,0.004687850574164993
bicarbonate__max,0.03422228588224594,0.006646890593823406
white blood cells__mean,0.034210797237353985,0.010236457337601909
"sodium, whole blood__last",0.0331448897164693,0.009847413099432894
var_spo2__std,0.03308580525702496,0.004790727359945212
spon rr (mech.)__last,0.03229189513403678,0.007114950768764385
var_pap [diastolic]__std,0.03105529917475731,0.007444506463305088
temperature c (calc)__min,0.0303769469150005,0.005170653521678636
white blood cells__last,0.030243633873299758,0.008413828843975173
"hematocrit, calculated__last",0.02956931009941417,0.010942985522408142
temperature c (calc)__max,0.02919048322434046,0.0048791157341994545
"potassium, whole blood__min",0.028918635029624395,0.005581441645709504
"hematocrit, calculated__range",0.027965152105182377,0.008306364858808346
hr alarm [high]__min,0.027648468354751543,0.009592698114364211
bicarbonate__min,0.027509933201736204,0.004425248174295241
pap [systolic]__mean,0.027449431312077933,0.006306319861790629
hr alarm [high]__max,0.026244242622275805,0.008537498692462989
temperature c (calc)__mean,0.02575269274439862,0.0063728584146691665
var_arterial bp [diastolic]__std,0.025004811802568437,0.005105829145682104
white blood cells__min,0.024965795170889926,0.00656210767559713
spo2__std,0.024759670977146642,0.0029497689100395756
respiratory rate__std,0.024618599370064276,0.006709914079041363
temperature c (calc)__last,0.024299453767156566,0.005410079241250703
"chloride, whole blood__last",0.024072664932925814,0.009382175847806642
temperature f__max,0.02368973497039075,0.00479942482940288
hemoglobin__min,0.02368704931314327,0.009477494740114658
bicarbonate__last,0.023640796327214608,0.00442067950824768
hemoglobin__max,0.02333127432944373,0.009179818246014786
creatinine__mean,0.022874488792603186,0.003708449698492123
temperature f__min,0.022362796485369964,0.00493744790590504
var_pap [systolic]__cv,0.02199128056613662,0.007040019431218174
"var_hematocrit, calculated__std",0.021983074391213785,0.007038291749188834
arterial blood pressure diastolic__mean,0.021904891924676373,0.0071276107566761735
lactate dehydrogenase (ld)__mean,0.02160961883063508,0.0055033819954417315
var_respiratory rate__std,0.021391782187229168,0.004802109267487944
var_bp cuff [diastolic]__std,0.021021907502980407,0.006109353121427661
hr alarm [high]__last,0.020764233610403783,0.008881072169888836
temperature c__last,0.020655688296651875,0.004722094075867831
temperature f (calc)__last,0.020441432529575886,0.005033878836275498
urea nitrogen__mean,0.02016995734281084,0.003418719405241879
temperature fahrenheit__mean,0.020035749082027543,0.005238072014182626
"hematocrit, calculated__max",0.019827759848529046,0.006549359390909306
bicarbonate__range,0.01965207310359036,0.0050910786136831344
arterial bp [systolic]__mean,0.019341432081966325,0.004545558409339226
hr alarm [low]__last,0.01931196445383441,0.008626716282143818
spo2 desat limit__last,0.019286301506803015,0.0043319357390670275
lactate__mean,0.01831193013710288,0.00539624223975132
"potassium, whole blood__mean",0.017622014630863946,0.009186722944210286
var_potassium__cv,0.017128898119592395,0.00442496221022963
arterial blood pressure systolic__range,0.016685839275350077,0.004434021193753685
spo2__range,0.016666069853945142,0.0025178119961319252
respiratory rate (total)__min,0.016430552633660046,0.005420823749255116
arterial bp [systolic]__std,0.016425181319165105,0.0037166270302030043
ck-mb index__mean,0.016241959813615515,0.002844495139400025
urea nitrogen__last,0.015883722977439074,0.0015899023521216543
lactate__min,0.015644326474463233,0.004136353241015968
var_nbp [diastolic]__std,0.0154094060668998,0.005291985600853435
spo2 alarm [low]__mean,0.01537673057038893,0.006561097402356129
o2 saturation pulseoxymetry alarm - low__min,0.015175679284779742,0.006379769920435791
arterial bp [diastolic]__std,0.01508996205763129,0.003997459982578871
temperature f__mean,0.014688008689593324,0.005049530483559989
temperature f__last,0.014160873853187183,0.004755221842918521
non invasive blood pressure diastolic__min,0.014004956529653478,0.004259286939225195
"temp/iso/warmer [temperature, degrees c]__range",0.01398839497662745,0.004493167784271556
var_non invasive blood pressure systolic__cv,0.013734973374692561,0.0032828898932712085
nbp [systolic]__mean,0.01354667896100883,0.003645966636999726
var_non invasive blood pressure systolic__std,0.013494457847863605,0.0038636166060463835
spo2 alarm [low]__last,0.013478343904378808,0.00477897923937689
urea nitrogen__std,0.013234172899629604,0.0026121817556334277
var_pulmonary artery pressure systolic__std,0.013221192222933498,0.0015943777159643212
arterial blood pressure systolic__std,0.013148977883612667,0.00507372643329333
hemoglobin__mean,0.013061544819889526,0.01063954790023431
spo2__mean,0.012849825506880564,0.0035427351967197086
var_sodium__std,0.012640195038397528,0.004698985350652131
var_chloride__cv,0.01210940472407116,0.0052911161651104524
var_pap [systolic]__std,0.011682310620133252,0.005460215867166944
bicarbonate__mean,0.011599428253412713,0.00872837976414935
pap [systolic]__range,0.01140583712682428,0.004702618263898722
spo2 desat limit__mean,0.011214185641581187,0.004610003286389493
spo2 desat limit__min,0.011104297499205561,0.004146735317798418
arterial blood pressure systolic__max,0.011025070610405252,0.0034204403251996787
lactate__max,0.010906827089926319,0.003032987203041375
"hematocrit, calculated__min",0.010797759565043008,0.005220267644523305
pap [systolic]__std,0.010703463155020665,0.007060865214960726
current used/ma__mean,0.01051897342243755,0.0038539557077790472
o2 saturation pulseoxymetry alarm - low__last,0.010420051713822409,0.003264248697754021
var_respiratory rate set__std,0.010361638668689954,0.003118724779517517
spo2__last,0.010358729206671847,0.004145397508201223
"urea nitrogen, urine__last",0.010347315163370108,0.0038403228138403464
"var_sodium, whole blood__std",0.010174314075678903,0.0055912615586433375
"potassium, urine__last",0.010126942065897194,0.0042237046721247205
var_diastolic unloading__std,0.009707681128931079,0.0015921378086128826
white blood cells__max,0.009685151448688357,0.0038964743221630888
vent sens thresh mv__mean,0.009602045277197213,0.0049924612168396176
respiratory rate set__std,0.009470821080022219,0.0036401394621880497
var_hemoglobin__abn_low_ct,0.009469851259349538,0.0012629958316261276
arterial blood pressure systolic__mean,0.009453662714274502,0.0036154373834137335
"hematocrit, calculated__std",0.009394876661191032,0.01027400057272935
"sodium, whole blood__mean",0.009373988215932893,0.009092694400531906
var_pap [diastolic]__cv,0.009175547985980947,0.006719512975460091
var_arterial bp [systolic]__std,0.009141007449714888,0.0020766605680714845
glucose__mean,0.009047755461955576,0.002042812545353586
non invasive blood pressure systolic__mean,0.008897358656097221,0.003006497694364397
var_bicarbonate__slope,0.008843645511147802,0.001589753725939663
respiratory rate set__last,0.008721149700027108,0.0019794710314896334
"var_hematocrit, calculated__cv",0.008705483366083478,0.009715853168942268
nbp [diastolic]__std,0.008575676599122483,0.00347726167939226
spon rr (mech.)__min,0.008559040444506217,0.0046402675276203936
bp cuff [systolic]__mean,0.008263245139333474,0.006581684211147587
spon rr (mech.)__mean,0.008262946732972653,0.006558898615036668
"chloride, whole blood__min",0.008181034186924818,0.007360255705110416
tacrofk__last,0.008074279311337907,0.0005069420737260133
var_hemoglobin__std,0.007916273143278408,0.0014726870780335866
arterial blood pressure systolic__min,0.007852190377290236,0.002351342206682851
bp cuff [systolic]__range,0.007647707418531402,0.004017335208033589
temporary atrial sens threshold mv__min,0.00755318720373852,0.0026283801465864865
respiratory rate set__mean,0.00754632385743943,0.0030306409156430386
spo2 alarm [high]__min,0.007526778240805054,0.004154386945828113
sodium__last,0.007487015593224467,0.005011404636710728
"chloride, whole blood__max",0.00745172904105631,0.007268986626916593
temporary venticular stim threshold ma__last,0.007409952150540166,0.0022589942773969035
temporary atrial sens threshold mv__max,0.007384065398738105,0.0024085169670610912
lactate dehydrogenase (ld)__last,0.007272834427738783,0.0021654831746806963
temperature celsius__mean,0.007191145686461553,0.0037886439540612622
o2 saturation pulseoxymetry alarm - low__mean,0.007045001171245046,0.0023847488485683435
heart rate__min,0.006985543703849695,0.002471629794220961
"var_sodium, whole blood__cv",0.0068071713016635725,0.0028959694261845377
white blood cells__std,0.006726153974698246,0.003922263542211672
ck-mb index__range,0.006708547999409254,0.0030056681009131385
"calculated bicarbonate, whole blood__last",0.0066922848527440236,0.004377318037490099
heart rate__std,0.006685496108035127,0.0018621410420914396
var_white blood cells__std,0.006676021706078794,0.0018119427428501867
temperature fahrenheit__min,0.006649463539964917,0.0037700813152462148
systolic unloading__mean,0.006548005377282751,0.0016860390750217092
% hemoglobin a1c__max,0.0065477815725121236,0.001934191575067873
% hemoglobin a1c__mean,0.0065355469117180705,0.0019231108302926391
