feature,importance_mean,importance_std
bp cuff [systolic]__last,0.07978759435236113,0.012082989178046575
chloride__last,0.06031255082233322,0.006397935951174409
bp cuff [diastolic]__mean,0.05592388847360661,0.01205777881349301
sodium__min,0.05337773619982469,0.008438882153249339
sodium__max,0.05244357508724644,0.0077846173276051745
hr alarm [low]__mean,0.04865829040011804,0.013859247674796195
"temp/iso/warmer [temperature, degrees c]__last",0.04556008635880071,0.009031050796471226
"sodium, whole blood__last",0.040907931193461186,0.01133167547461141
var_spo2__std,0.0390525896450008,0.005163703813017054
"potassium, whole blood__min",0.03803039865597768,0.007406878940098512
potassium__mean,0.03753220923657199,0.006936684735696287
temperature c (calc)__mean,0.03531176750563607,0.007794916478429816
white blood cells__mean,0.0352626796592795,0.0108681212457965
bicarbonate__max,0.03382152613965106,0.006402869330691084
hemoglobin__min,0.0327487552724673,0.012548269708565912
spon rr (mech.)__last,0.0325488230107112,0.006940758073856984
"hematocrit, calculated__last",0.03242304472962134,0.009794479043205339
"chloride, whole blood__last",0.03217372621514791,0.011303483188691309
var_pap [diastolic]__std,0.031718805718062584,0.007511780905874868
var_arterial bp [diastolic]__std,0.03112050096459844,0.006109577410170948
temperature c (calc)__min,0.031094092001664998,0.005476180986601044
white blood cells__last,0.031019490411457507,0.0076681805630527105
temperature c (calc)__max,0.03027362371256297,0.005402065164906667
pap [systolic]__mean,0.029781402420373925,0.006125695096675536
hemoglobin__max,0.02936303670249023,0.012300870555868013
"hematocrit, calculated__range",0.02902926918790192,0.007887963255756837
arterial bp [systolic]__mean,0.028941537717817954,0.004405660142166687
var_bp cuff [diastolic]__std,0.02814688157892766,0.008339588259005798
white blood cells__min,0.027633921044660913,0.006342428662391499
"potassium, whole blood__mean",0.027482629019720095,0.00929523711684613
temperature fahrenheit__mean,0.027437122049693487,0.006510899375725176
spo2 alarm [low]__last,0.026942662709798237,0.006676442590450133
bicarbonate__min,0.02691938701365353,0.004351149894217194
lactate dehydrogenase (ld)__mean,0.02690610793059651,0.006270272392553915
hr alarm [high]__last,0.02681136391103305,0.008746030581314538
hr alarm [high]__min,0.02669662666529391,0.010362809056599826
arterial bp [systolic]__std,0.026220668519770073,0.005051621583569932
respiratory rate__std,0.02604938326865367,0.007055226391521967
temperature f__max,0.025775297026231336,0.005128351947918873
temperature f__min,0.025721136271740663,0.005377641604452017
"hematocrit, calculated__max",0.025711736471374546,0.00749145000612671
bicarbonate__last,0.025681746632111136,0.004900590155756489
hr alarm [high]__max,0.0248072667916988,0.010081271874691829
var_pap [systolic]__cv,0.024517514215332926,0.006744542857296585
spo2__std,0.024264913230890306,0.0035390059346133225
temperature c__last,0.024229701280312366,0.0045609113724102085
var_respiratory rate__std,0.024013953481432315,0.0057700654726456245
arterial blood pressure diastolic__mean,0.0237858218185778,0.006922443699154716
spo2 desat limit__mean,0.023194529614593163,0.006972222880176007
temperature f (calc)__last,0.02303876149423991,0.004709736012537429
temperature c (calc)__last,0.02303428539882748,0.0067890953863243555
spo2__mean,0.022675899359470654,0.0033897866861721925
lactate__mean,0.02218800495951363,0.0051921449046397694
spo2 desat limit__last,0.02140752312276282,0.0058219326368200075
temperature f__mean,0.020703582517564833,0.006541060850700498
creatinine__mean,0.020295511819129808,0.0037372455220659848
arterial blood pressure systolic__std,0.020135416806544515,0.004718903845147336
var_non invasive blood pressure systolic__std,0.020052907447775038,0.0046470611648309615
"hematocrit, calculated__min",0.01974301244205314,0.0068179832264123365
hemoglobin__mean,0.019400889549361568,0.011513333145530115
"var_hematocrit, calculated__std",0.019359858674747387,0.007113514672568619
hr alarm [low]__last,0.019305548717076328,0.007718771804779829
lactate__min,0.019173205496048305,0.00430153551637305
ck-mb index__mean,0.018759763483118298,0.002514935482443899
var_pap [systolic]__std,0.018653978428204043,0.005887261342697621
platelet count__mean,0.018464341185896592,0.004771001689769333
var_potassium__cv,0.018451957321922174,0.003134318175016247
urea nitrogen__last,0.01803866451217262,0.0018018471906667908
spo2__range,0.01715001036962094,0.0026000321655984394
respiratory rate (total)__min,0.017010356192752506,0.005876774682769458
arterial blood pressure systolic__range,0.01653395043768744,0.00420606348453594
bicarbonate__range,0.016472329524176033,0.003884172343018819
non invasive blood pressure systolic__mean,0.016214506428418908,0.004480771345241392
o2 saturation pulseoxymetry alarm - low__min,0.015780175970230913,0.005132620842942665
spo2 alarm [low]__mean,0.015615008049511502,0.0070533454108226016
arterial blood pressure systolic__mean,0.015585913429330578,0.00504690945993543
"chloride, whole blood__min",0.015522502077654154,0.007808000863407772
urea nitrogen__mean,0.015513699090009703,0.0019540128717653172
spo2 desat limit__min,0.01532868714629514,0.0055912857302571
urea nitrogen__std,0.015237822409422397,0.0034350415940001713
spo2__last,0.015208130976519806,0.00459233053857564
"chloride, whole blood__max",0.014876153900096445,0.007810206125518381
"temp/iso/warmer [temperature, degrees c]__range",0.014754553308058216,0.004466715435523985
var_pulmonary artery pressure systolic__std,0.014651752316752309,0.0015649167593814806
non invasive blood pressure diastolic__min,0.01458535690146765,0.004371946159447597
arterial bp [diastolic]__std,0.014489419256460767,0.005046104095704345
"sodium, whole blood__mean",0.014285010899292216,0.008942259494966664
lactate__max,0.0139036475701515,0.001750418837258509
"urea nitrogen, urine__last",0.01345365077801992,0.005240932225706161
bicarbonate__mean,0.013446489025359942,0.010297516835074953
temperature fahrenheit__last,0.01315076832177744,0.005171861266851795
var_non invasive blood pressure systolic__cv,0.013062738445332612,0.004168082269894836
pap [systolic]__range,0.012851168335504171,0.0045409311698880045
current used/ma__mean,0.012813867540400392,0.0031824440864687553
var_heart rate__std,0.012795067939668114,0.001908741737554959
white blood cells__max,0.012737326308847496,0.004195615914499419
var_nbp [diastolic]__std,0.01268495599252184,0.005094748493246127
nbp [systolic]__mean,0.012463687675966418,0.004061180523058846
temperature celsius__mean,0.012422806004532716,0.005098844968069796
arterial blood pressure systolic__max,0.012343131506191086,0.0039676946919005324
"hematocrit, calculated__std",0.012234511590849007,0.010464427229581064
spo2__max,0.012183334899966636,0.003885508775095459
"var_sodium, whole blood__std",0.01204024904994867,0.0059731542090060335
var_arterial bp [systolic]__std,0.012017719369706015,0.0045165047385155345
"potassium, urine__last",0.011345559041936437,0.004415164522956739
pap [systolic]__std,0.010893921014820274,0.006916798211242802
"var_hematocrit, calculated__cv",0.01089227977983569,0.011566769687519796
var_respiratory rate set__std,0.01019117403506562,0.0025145196280882986
temperature f__last,0.01015834933537434,0.004594278068360612
spo2 alarm [high]__min,0.00995931229270075,0.0043706543018776954
vent sens thresh mv__mean,0.00911810476152095,0.005404137476858105
var_hemoglobin__std,0.009107660538891938,0.0016858836100399018
"sodium, urine__last",0.009081102372778083,0.004356434334005767
"var_sodium, whole blood__cv",0.008832828280567551,0.004345796472493542
var_sodium__std,0.008804032066747448,0.003768484648968376
glucose__mean,0.008760613941246654,0.0024620088368150295
spo2__min,0.008725103584307914,0.0037946038131994996
var_pap [diastolic]__cv,0.008676612550673002,0.00606854164850478
