feature,importance_mean,importance_std
BP Cuff [Systolic]__last,0.07955110731140347,0.011328284940259106
Potassium__mean,0.07617628057359675,0.006725911457858583
BP Cuff [Diastolic]__mean,0.06449426835982439,0.011457733163992356
"Sodium, Whole Blood__last",0.05313662386027422,0.013023583949953288
SpO2 Alarm [High]__min,0.04538880110768444,0.00942582043324041
SpO2 Alarm [High]__max,0.044942982004604407,0.009351731847088839
Chloride__last,0.04421770534460716,0.005883923140095285
SpO2 Desat Limit__min,0.04416324618375569,0.007654735509508338
Temperature C (calc)__mean,0.04265853210927047,0.008400682934377474
"Temp/Iso/Warmer [Temperature, degrees C]__last",0.0411675447273834,0.008975866800570121
White Blood Cells__mean,0.04089002681181153,0.011945582676838127
Lactate Dehydrogenase (LD)__mean,0.039845455345726144,0.009268559728095418
Temperature Fahrenheit__mean,0.0395377983877105,0.006540555452540649
SpO2__last,0.039321602979289105,0.007385986616844868
White Blood Cells__min,0.038174528928258636,0.00703281276287327
"Potassium, Whole Blood__min",0.03737808235120339,0.007443191730424105
O2 Saturation Pulseoxymetry Alarm - Low__min,0.03542173024960207,0.005645437695953744
"Chloride, Whole Blood__last",0.03517509739237608,0.012953976273904705
"Hematocrit, Calculated__mean",0.035123920701493686,0.009344926894358674
HR Alarm [High]__last,0.03491399182664982,0.008824028402320784
"Potassium, Whole Blood__mean",0.03359339447679668,0.010017113035026011
HR Alarm [Low]__mean,0.033414201457118285,0.011243887828969047
SpO2 Desat Limit__max,0.033110572984973795,0.006433794102077735
SpO2 Alarm [Low]__last,0.03307476422167421,0.0076317952914916115
Sodium__last,0.032239077208169806,0.006065578145458598
SpO2 Alarm [High]__last,0.030669459750204076,0.008264645742691184
SpO2 Desat Limit__last,0.029742758796646496,0.004522290099973488
Spon RR (Mech.)__last,0.029452409407559,0.007212742372963802
Temperature F__mean,0.02937183969013484,0.007417059013355345
Arterial Blood Pressure diastolic__mean,0.028245057271640794,0.007049835550054903
"Sodium, Whole Blood__mean",0.027726427016518285,0.011978017784281349
Sodium__min,0.02734909217324879,0.005691185221980186
Heart Rate__std,0.027222567876256855,0.003928432603116397
Bicarbonate__min,0.02680017367250207,0.0021622446762338747
Bicarbonate__max,0.026461780859320806,0.004278158561392263
Sodium__max,0.026070570120272717,0.005267785405944236
White Blood Cells__max,0.025258904818815143,0.007076561458210603
SpO2__min,0.024470366010321886,0.0034216100342493805
"Hematocrit, Calculated__range",0.024464547086285714,0.008085138247373731
Arterial BP [Systolic]__mean,0.02407169511225309,0.004095606837860538
"Sodium, Urine__mean",0.023757622417479474,0.0059158791790865995
Temperature C (calc)__min,0.02346667621567027,0.004647733482068562
Temperature C (calc)__max,0.0229493887891715,0.004704816878078431
SpO2 Alarm [Low]__min,0.02250476331153477,0.0077468686416772336
Creatinine__mean,0.022300653360727063,0.0043191308730871885
SpO2 Alarm [Low]__max,0.02221635356379261,0.007633794391005478
Lactate__mean,0.021806492427192615,0.0050157574951438825
SpO2 Alarm [High]__mean,0.02177471214976423,0.007392659478200816
PAP [Systolic]__range,0.021410208780010386,0.007509817856099057
NBP [Systolic]__mean,0.021209978111893492,0.004185250619702029
Temperature F__min,0.021185359587124974,0.004925227698387464
"Creatinine, Urine__mean",0.021150893652449133,0.006244663069204422
Heart rate Alarm - High__min,0.021007061786529068,0.004910723463278462
PAP [Diastolic]__mean,0.020843833507155064,0.006343171997546585
Temperature F__max,0.020838611395840555,0.0046890574765525985
PAP [Systolic]__mean,0.020764457415174298,0.006477028612125932
Temperature Celsius__mean,0.020721636102395212,0.00589947055801569
PAP [Diastolic]__std,0.020508573960762576,0.007440969989945309
Non Invasive Blood Pressure diastolic__min,0.02047679368333415,0.004090326789945791
