number,value,state,param_n_estimators,param_learning_rate,param_max_depth,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_spw_mult,fold_aucs
0,0.6204825910389952,1,550,0.038783515576406725,4,0.9994449016906529,0.9506649085171581,0.22932723616819398,0.6374962855339086,0.7982769828000178,"[0.6379718039003978, 0.602556352294286, 0.620919616922302]"
1,0.619066084723734,1,1050,0.028224404601921434,4,0.8199057771277549,0.5309622826058829,0.20814261864791248,0.3056258997207121,0.7983055215985362,"[0.6345468023560314, 0.6064908303589611, 0.6161606214562098]"
2,0.6210943644547661,1,800,0.018318454687692255,4,0.6038023506003422,0.7038458688661852,1.4062667536950912,0.38438991131664835,2.5772990622318224,"[0.6347647594414497, 0.610559021190392, 0.6179593127324565]"
3,0.6081974265405257,1,950,0.06911343016832543,6,0.8719157939986468,0.7941409943907546,0.5361435439227894,0.7970997893132363,3.6115349174302644,"[0.6143525345065144, 0.5996292753250373, 0.6106104697900254]"
4,0.6062858019274745,1,850,0.07848186371230265,3,0.6278824946352456,0.6766554716344798,1.1621504956790105,0.7558686327660431,0.7802212934735735,"[0.6223847164140621, 0.5926061395328895, 0.6038665498354717]"
5,0.6237641712393338,2,350,0.07442823893843041,5,0.7528091741676792,0.9665664974387388,2.5050639164214883,0.33375989641201464,0.7131755413205079,
6,0.6244934976506278,1,450,0.012003327285656543,6,0.8683954355174758,0.9911736451957005,1.1229953704603877,0.1479756134499477,2.0232414210458227,"[0.6379910077594333, 0.6201770957265508, 0.6153123894658992]"
7,0.6200913996255919,2,850,0.04629919034036704,4,0.9843151608764354,0.9683091558005608,2.5223262383528047,0.3018565031752618,2.61116132023713,
8,0.6329710115733467,2,500,0.012424906209149409,4,0.6797358744960463,0.903320355992707,0.8940650970653472,0.6595896123645169,3.3974883317220197,
9,0.6132145379927536,2,350,0.08524836357223586,7,0.9181060397133942,0.7904504995362056,2.1359505128993326,0.8586826870645233,3.6768148507121405,
