feature,importance_mean,importance_std
bp cuff [systolic]__last,0.07979729255908825,0.012076439619473021
chloride__last,0.060214524332800765,0.006414323186512057
bp cuff [diastolic]__mean,0.05506582098304014,0.012081379934061231
sodium__min,0.05344562364691376,0.008472589426816841
sodium__max,0.05240806473030783,0.00787538570107744
hr alarm [low]__mean,0.048100867318087805,0.013772381336906782
"temp/iso/warmer [temperature, degrees c]__last",0.04521602382476397,0.008988997440533799
"sodium, whole blood__last",0.04086287183297603,0.011300335575278864
var_spo2__std,0.03891651634446243,0.00512112326809271
"potassium, whole blood__min",0.03789059527592897,0.007296986052450171
potassium__mean,0.03740464051731731,0.006938315599614917
white blood cells__mean,0.03565717286829697,0.010892301970319493
temperature c (calc)__mean,0.035099152973544864,0.0077300414867748045
bicarbonate__max,0.03376244168020692,0.006322047453202967
spon rr (mech.)__last,0.03279038295980321,0.006943300806659124
hemoglobin__min,0.03263610687125411,0.012538146089072022
"hematocrit, calculated__last",0.03252718854955117,0.009820478998263157
"chloride, whole blood__last",0.03227607959691279,0.011339502429218593
var_pap [diastolic]__std,0.03163301388932416,0.0075285101662781765
var_arterial bp [diastolic]__std,0.03141577405863991,0.00604436933280871
white blood cells__last,0.031098120487536372,0.007648523655248175
temperature c (calc)__min,0.030689303773199294,0.005427441141546781
temperature c (calc)__max,0.029796621144776415,0.005358891542721722
pap [systolic]__mean,0.02962190422051041,0.006140113879851949
hemoglobin__max,0.029159672767584778,0.012238745135243522
arterial bp [systolic]__mean,0.02905105285224263,0.004358648828827043
"hematocrit, calculated__range",0.02900838074264398,0.007935019576014314
var_bp cuff [diastolic]__std,0.028235955877635544,0.008297503482177162
white blood cells__min,0.027767756297493285,0.006363844435936325
"potassium, whole blood__mean",0.027382662888842214,0.009340893469285702
lactate dehydrogenase (ld)__mean,0.027060980831867476,0.006226786138036951
temperature fahrenheit__mean,0.027020695973155394,0.0064542550912803495
spo2 alarm [low]__last,0.026955494183314065,0.006608917152003405
bicarbonate__last,0.02691923781047323,0.004977464388983992
bicarbonate__min,0.02687179119910128,0.004301468449582569
hr alarm [high]__last,0.026791072278496773,0.008673666671322132
hr alarm [high]__min,0.026427911737366628,0.010299695783013795
respiratory rate__std,0.026160390434882587,0.007141669439339682
arterial bp [systolic]__std,0.026075195418865625,0.004984058791986518
temperature f__max,0.02586213327723299,0.005121571308156894
temperature f__min,0.025807077303659876,0.005379681207275336
"hematocrit, calculated__max",0.025383638677642106,0.007465085867340227
hr alarm [high]__max,0.024536164612884902,0.010022301403253855
var_pap [systolic]__cv,0.02446335346084245,0.006740831975837757
spo2__std,0.02422224112129181,0.0035385137559179342
temperature c__last,0.02418464191982721,0.004587518687397929
var_respiratory rate__std,0.02416584231909491,0.005759185080852658
arterial blood pressure diastolic__mean,0.024047971806567103,0.006938041556175519
temperature c (calc)__last,0.023549782387161433,0.0067522014376521795
spo2__mean,0.02330687960944582,0.0034526201858918583
spo2 desat limit__mean,0.023044282011915395,0.006929894785284621
temperature f (calc)__last,0.022967442374001723,0.004733666608276267
lactate__mean,0.022025224289681056,0.005188238556135991
spo2 desat limit__last,0.02149331495150155,0.005833934856128626
creatinine__mean,0.02118162950761464,0.0038050985247782367
arterial blood pressure systolic__std,0.020917838284640954,0.004805949864954688
var_non invasive blood pressure systolic__std,0.020084538522023233,0.004693836623658766
temperature f__mean,0.020053056650955626,0.0064308933803033305
hr alarm [low]__last,0.019844321401555075,0.007734244294619243
hemoglobin__mean,0.01957396523864312,0.01150950489495855
lactate__min,0.01919663039537358,0.00428465041747363
"hematocrit, calculated__min",0.019193347925404437,0.00674308371233749
ck-mb index__mean,0.019127996932382697,0.002560031517455728
platelet count__mean,0.019097410280397575,0.004882050187555053
"var_hematocrit, calculated__std",0.01900415829263824,0.007048367613793746
var_pap [systolic]__std,0.018724402329360124,0.0059040212309493705
var_potassium__cv,0.01868262543884396,0.0031532804107736
spo2__range,0.017295035860984465,0.0026156480740965877
respiratory rate (total)__min,0.01711957292081645,0.005857734097820823
arterial blood pressure systolic__range,0.016599749040250588,0.004219113796328608
o2 saturation pulseoxymetry alarm - low__min,0.01639265502583458,0.005220613986623344
bicarbonate__range,0.016346998852627626,0.0038786079640230017
urea nitrogen__last,0.016171535912459567,0.0016627194927798065
spo2__last,0.01609290583638088,0.004681834361558739
urea nitrogen__mean,0.015992641299141998,0.0019956376108462154
spo2 alarm [low]__mean,0.01568528274748713,0.007075362169977091
non invasive blood pressure systolic__mean,0.015483709250746446,0.004329254050018932
"chloride, whole blood__min",0.015416418616379279,0.007761569350392576
spo2 desat limit__min,0.015281986550825378,0.005535860238378975
urea nitrogen__std,0.014864963661565467,0.0034077136718830064
var_pulmonary artery pressure systolic__std,0.014735753707326094,0.0015232924699368838
"chloride, whole blood__max",0.014733217253259046,0.007762234301167725
non invasive blood pressure diastolic__min,0.014714716058887545,0.004372189485228548
arterial bp [diastolic]__std,0.014662793352103142,0.0050415614554991
"temp/iso/warmer [temperature, degrees c]__range",0.014650409488128745,0.004400389160294336
"sodium, whole blood__mean",0.014150877240099313,0.008859314081159886
arterial blood pressure systolic__mean,0.013946468882930784,0.004668604889740815
bicarbonate__mean,0.013722216502767037,0.010358213225725166
lactate__max,0.01366283363696188,0.0016983147683361367
"urea nitrogen, urine__last",0.013628516905466449,0.005310610676025527
temperature fahrenheit__last,0.013205973498531143,0.00518304549959495
nbp [systolic]__mean,0.012990822512372758,0.004139327234875386
current used/ma__mean,0.01292920159886135,0.0031498225074678156
arterial blood pressure systolic__max,0.012878621720700645,0.004092442394298807
var_heart rate__std,0.012819984870797562,0.001964227575597679
white blood cells__max,0.012741503997899284,0.004121815905666353
pap [systolic]__range,0.012713304596800822,0.0044974918475291425
var_non invasive blood pressure systolic__cv,0.012700174716924329,0.004155805094148811
var_nbp [diastolic]__std,0.012466522536394464,0.005052222589645741
"hematocrit, calculated__std",0.01233582055035094,0.010491995809057046
var_arterial bp [systolic]__std,0.012278675732251965,0.004583916767767767
spo2__max,0.012275094855921997,0.0038759952240214304
temperature celsius__mean,0.012239733702163691,0.00509732323146937
"var_sodium, whole blood__std",0.012063823152454356,0.006042167353102085
"potassium, urine__last",0.011531167798372844,0.004407001208785669
pap [systolic]__std,0.010813351297396311,0.006917500882771207
"var_hematocrit, calculated__cv",0.010605212860717406,0.011360510235809943
var_respiratory rate set__std,0.010296063870897543,0.0024931125332485447
spo2 alarm [high]__min,0.0100737511320792,0.004354969629748799
temperature f__last,0.009874266479864401,0.0044808703762600635
vent sens thresh mv__mean,0.009153018305738248,0.005351330229433969
var_hemoglobin__std,0.008969796800188657,0.001617543367556935
"sodium, urine__last",0.008960098593461696,0.004307414616555704
"var_sodium, whole blood__cv",0.008870278278851873,0.004334719102065473
spo2__min,0.008751810953602335,0.0037322612254777113
var_pap [diastolic]__cv,0.00860230936682651,0.006066256021212015
glucose__mean,0.008555310364995839,0.0024554259104370125
arterial blood pressure systolic__min,0.00845982032953021,0.0033092616934192365
var_white blood cells__std,0.00839864702556008,0.0018439707724868899
"chloride, urine__last",0.008388501209291865,0.00420615485206739
var_chloride__cv,0.008297039659697436,0.003762608850719568
var_bp cuff [diastolic]__cv,0.008246459781536796,0.006182366877229685
atrial pacemaker threshold [value]__mean,0.008209009783252608,0.003893646927175649
temporary atrial sens threshold mv__max,0.00820393687511849,0.0022477320721230477
white blood cells__std,0.007984906606269248,0.0035960648198838335
% hemoglobin a1c__min,0.007977148040887694,0.0027802829868689106
% hemoglobin a1c__mean,0.007971776726392732,0.0027807272330552736
spon rr (mech.)__mean,0.007962078519665794,0.007240157061402762
% hemoglobin a1c__max,0.007960586487861665,0.002779952816662596
vent sens thresh mv__min,0.007888670554901589,0.004730461895636496
var_sodium__std,0.007873153424138458,0.0035183661291697046
var_respiratory rate__cv,0.00785748709019487,0.002768925091890962
non invasive blood pressure diastolic__last,0.00783271936224601,0.003111425922379793
var_diastolic unloading__std,0.007749463987574434,0.001526779413867599
o2 saturation pulseoxymetry alarm - low__mean,0.007693214388557967,0.0036479057380449107
tacrofk__last,0.007624133316025827,0.0011693818087931212
var_hemoglobin__abn_low_ct,0.007615628734742174,0.0011613857680124876
ck-mb index__range,0.0075883245527262,0.0024442495981918328
temporary venticular stim threshold ma__last,0.00758414686367459,0.002515146180758984
sodium__last,0.0075675853106485615,0.006243494878215654
respiratory rate set__last,0.007345272571830241,0.0017648452012789953
var_arterial bp [systolic]__cv,0.007287978550550878,0.0018517775807853198
lactate dehydrogenase (ld)__last,0.007271715403885626,0.0024092003727894168
var_systolic unloading__std,0.007190996483281142,0.0014580779867406587
systolic unloading__mean,0.007129972382491401,0.0014970632250764211
spo2 alarm [high]__mean,0.007120423378944851,0.0036226817828174016
atrial pacemaker threshold [value]__max,0.00708476381882559,0.0036754467918744924
sodium__mean,0.007073573580294567,0.005515024374083946
bp cuff [systolic]__mean,0.007016577965375958,0.006688876902277232
respiratory rate (total)__mean,0.0068448451047183004,0.0068082448967224695
spo2 alarm [low]__min,0.006830223193037654,0.004930228127041081
"calculated bicarbonate, whole blood__last",0.006807245903253723,0.004570638401450095
spo2 alarm [low]__max,0.006801128572856752,0.005040686076766108
hematocrit__range,0.0067689006858870915,0.0008951512670758577
spon rr (mech.)__min,0.00676725945090253,0.006870481028709079
var_respiratory rate (total)__std,0.0067583072600776225,0.0036633942417872898
spo2 desat limit__std,0.006742939332494901,0.003301587132269892
respiratory rate set__mean,0.0065570321696978295,0.0012881359262128691
var_temporary atrial sens threshold mv__cv,0.006493471614841017,0.0012603920804434927
var_hr alarm [high]__std,0.006449009067077372,0.0014428591404433838
heart rate__min,0.006412603491056079,0.0018655332182178133
temporary atrial sens threshold mv__min,0.006410663849710696,0.002157600329876378
pulmonary artery pressure systolic__last,0.0063866421376638895,0.001098089895886749
spont rr__last,0.006357696720663375,0.0016011572587514358
var_systolic unloading__cv,0.006335614649961974,0.0016177861214600917
spon rr (mech.)__range,0.00626071465339364,0.004466496837047726
hr alarm [high]__std,0.006175370434196248,0.0019903692187938516
blood temperature cco (c)__min,0.006159107287530996,0.0020376563144473454
var_hr alarm [low]__std,0.006098978405823763,0.0037132203813265976
art bp systolic__mean,0.006095994342215505,0.004714108016258207
temporary atrial stim threshold ma__min,0.006048547730843468,0.0016633810957646358
ventricular pacemaker threshold [value]__min,0.0060261672537812675,0.0034574114957731756
ck-mb index__std,0.006004383589440642,0.006659486099800713
"var_temp/iso/warmer [temperature, degrees c]__cv",0.005988269645955846,0.0029532176389234235
temperature c__mean,0.00597991426785256,0.004491467069738804
chloride__min,0.005959921041676974,0.0028269191953091484
non invasive blood pressure systolic__min,0.005951714866754188,0.004342864279480254
pulmonary artery pressure systolic__mean,0.005921128214769133,0.0009301994474187947
lactate__range,0.00591053478895962,0.0006125798912065576
respiratory rate (total)__last,0.005878754511531259,0.006217583852849928
atr stim thresh ma__mean,0.005835783995571697,0.002217767115338745
var_urea nitrogen__cv,0.005830711087437557,0.0012216565078029395
pca 1 hr limit (mg)__min,0.005788038977838905,0.0021143760895267357
spo2 alarm [high]__max,0.005774461488421201,0.0032316240098506414
lactate dehydrogenase (ld)__min,0.0057576015290342845,0.006185232346902052
arterial bp [diastolic]__range,0.005753871449523884,0.0015386207427474728
chloride__max,0.005692698145553732,0.0032467150104100017
lowest heart rate__max,0.005573335601221729,0.0033138991507890587
eth_OTHER,0.0055306634916230555,0.002600792672089678
chloride__mean,0.005494407118782241,0.0028266735284193808
heart rate__range,0.005430398954384153,0.002544491694978508
temporary venticular stim threshold ma__range,0.005424580030348003,0.0035146700216890808
lowest heart rate__min,0.005417119871327247,0.0031385882762149956
glucose__range,0.005392501346558798,0.0009569292973710269
lactate dehydrogenase (ld)__max,0.005380714295305999,0.007207335414138131
var_bicarbonate__std,0.005347143579712577,0.0007423641088689571
vent stim thresh ma__max,0.005322226648583284,0.005094252109436154
"chloride, whole blood__mean",0.005318347365892517,0.004683691860210468
var_temperature f__std,0.005302979438309774,0.002949943528644577
var_bicarbonate__slope,0.005291341590237408,0.0015164414374193472
"temp/iso/warmer [temperature, degrees c]__mean",0.005279256132623744,0.006088320078515223
platelet count__std,0.0052058481678596055,0.0009834350943588943
systolic unloading__last,0.005194956335689294,0.0015763258179500672
vent stim thresh ma__min,0.005167502950492953,0.004904051011604287
ventricular pacemaker threshold [value]__max,0.005145719286152373,0.0031425479248705893
bp cuff [systolic]__range,0.005117967494595188,0.0032157215171823416
"potassium, whole blood__last",0.005000992201149801,0.0021694888743251936
arterial o2 saturation__range,0.004978611724087601,0.0027656049172724195
bp uac [systolic]__max,0.004952948777056187,0.0009793631752916829
bp uac [systolic]__last,0.004944742602133356,0.000990841504462553
respiratory rate set__std,0.004885359736328221,0.0033853412079759273
sodium__std,0.004778231852790226,0.0021117769824821712
ventricular pacemaker threshold [value]__mean,0.0047670416142591154,0.003067890855832437
% hemoglobin a1c__last,0.004738543806799856,0.0053873756501237316
pulmonary artery pressure systolic__range,0.004659316917999501,0.0005098599496557037
"temp/iso/warmer [temperature, degrees c]__min",0.004647977476287935,0.005519385522473368
bp uac [systolic]__min,0.004620971700632892,0.0009966292667072424
baseline current/ma__mean,0.004612765525710061,0.0018174230746078486
"glucose, ascites__last",0.004581880467364119,0.003171330408286607
"sodium, whole blood__min",0.004559052380760642,0.005703172225134829
bp uac [systolic]__range,0.004549204970853249,0.0010922131413082547
var_bp uac [diastolic]__std,0.004453118122666,0.0010673859754050513
"urea nitrogen, urine__max",0.004421487048417982,0.003320894238370701
"urea nitrogen, urine__mean",0.004387170316922507,0.003355083962564733
"urea nitrogen, urine__min",0.004378068922917255,0.003393728017556489
spon rr (mech.)__max,0.0043726976084222935,0.005328675326580997
bp uac [diastolic]__std,0.00431555279032334,0.001039450425051612
arterial o2 saturation__max,0.00430883864720466,0.0011106820844045402
temperature celsius__min,0.004266614147147241,0.0029732713767751336
var_sodium__slope,0.0041656035940062395,0.001278882194992853
"sodium, whole blood__std",0.004134569332479976,0.00341542115839167
