feature,importance_mean,importance_std
Chloride__last,0.13814767249186338,0.005365758407353678
SpO2__max,0.133116853424923,0.00516307194050142
Sodium__max,0.12025863645710988,0.005800562710219516
BP Cuff [Systolic]__min,0.10903473960619617,0.0049622264650099005
Temperature C (calc)__max,0.10107885271704102,0.0036645471228740926
"Hematocrit, Calculated__mean",0.09443126228412566,0.0025700453066832226
"Chloride, Whole Blood__max",0.0885531598626946,0.0020572848554526782
"Potassium, Whole Blood__mean",0.07100414941451441,0.0025949897574942117
Temperature F__mean,0.06981059954442462,0.004016565882562084
SpO2__last,0.06374405814123627,0.0032168494935148973
BP Cuff [Diastolic]__min,0.06035913889515045,0.003467204113584327
BP Cuff [Diastolic]__mean,0.05771368940984785,0.0033615040635744894
"Potassium, Whole Blood__last",0.05725413458458399,0.0011416207061170046
Temperature C__mean,0.05614158085080305,0.0018589366463902014
rx_total_mentions,0.04668737666441249,0.0019174919145002432
"Hematocrit, Calculated__max",0.04123710537555318,0.0025954696934938066
"Chloride, Whole Blood__last",0.039673289219233854,0.003021970734045483
Temperature F (calc)__mean,0.03634205432104629,0.0013072306378843134
Spon RR (Mech.)__max,0.03389643814732646,0.001854001340264273
"Hematocrit, Calculated__min",0.03352236551230488,0.0021621788676818147
Temperature C (calc)__mean,0.033421311895186004,0.002790619564124916
Temperature F__min,0.03173053917672135,0.002828668950436963
Chloride__mean,0.031331601691798494,0.0027785150240275587
Hematocrit__mean,0.029094494338921285,0.00207835559166459
Current Used/mA__min,0.026824229733417138,0.0015179706225959622
O2 saturation pulseoxymetry__mean,0.026588063092455715,0.002447734088493962
Sodium__min,0.025381648257779867,0.0024416221703616433
O2 saturation pulseoxymetry__min,0.025098433662755527,0.002442857266563243
Lowest Heart Rate__max,0.02457936138365231,0.001562373465678119
Arterial BP [Systolic]__max,0.021657939252650627,0.000833221418482548
HR Alarm [Low]__mean,0.02110936777040897,0.0020022823633299306
Non Invasive Blood Pressure systolic__last,0.020942877085582533,0.0022308157936856083
O2 Saturation Pulseoxymetry Alarm - High__min,0.02080786292794241,0.0021630062151783576
Potassium__mean,0.020766697512921838,0.0030895260501078515
rx_unique_drugs,0.02074123946580615,0.0009664463236451139
Urea Nitrogen__min,0.020319525679507434,0.0010011665383399097
Bicarbonate__mean,0.020187625807242537,0.0024543139951983197
"Chloride, Whole Blood__min",0.01972482075557507,0.0017757139987969587
Hematocrit__last,0.019668145705054485,0.0009110071490633677
Currently experiencing pain__mean,0.01924599937912026,0.001710480759054759
"Temp/Iso/Warmer [Temperature, degrees C]__last",0.019138766624351967,0.0023321325674820165
Chloride__max,0.01901171119600422,0.0021276394822091855
Temperature F__max,0.018504255695681947,0.0016028769668472718
"Creatinine, Urine__mean",0.018484025199017685,0.0009654195638242746
"Temp/Iso/Warmer [Temperature, degrees C]__mean",0.018333600272079864,0.0023078491916754813
Temperature C__last,0.01706068555802067,0.0009948044472859346
Urea Nitrogen__mean,0.016285574531275306,0.001133686696479534
Spont RR__min,0.016249525442228508,0.0017667479012774682
SpO2 Alarm [Low]__mean,0.0157735341108171,0.000875491329617423
"Potassium, Whole Blood__min",0.015701744889606007,0.00044163863800009313
Temperature Fahrenheit__last,0.015429640384075415,0.001742209085390753
Current Used/mA__max,0.015360088010693395,0.0017441022281275977
SpO2__mean,0.015151060142288264,0.0020973860287366686
SpO2 Alarm [Low]__last,0.014775405648028418,0.001239172336202425
