feature,importance_mean,importance_std
BP Cuff [Systolic]__last,0.0779737312880561,0.011545729588918542
Potassium__mean,0.06874215750782937,0.006518205189936351
BP Cuff [Diastolic]__mean,0.06390983950213877,0.010853665779187723
Sodium__max,0.06029606387089741,0.006819258217292444
Chloride__last,0.056053023826255835,0.006934506715381385
"Sodium, Whole Blood__last",0.04908157982295547,0.014362811644276137
"Temp/Iso/Warmer [Temperature, degrees C]__last",0.04700414934044728,0.00946106870519264
SpO2__max,0.04659921190880101,0.003366273077563987
SpO2 Alarm [High]__min,0.04620345047275025,0.010687081193868596
Temperature C (calc)__min,0.04567400298704764,0.005785709638751205
SpO2__last,0.04216832506001698,0.00814623939190117
SpO2 Desat Limit__max,0.041685428966603835,0.008069338546061226
Creatinine__mean,0.0378071906980769,0.004822209008806134
White Blood Cells__mean,0.036078075040247536,0.01197055289319592
HR Alarm [High]__max,0.03161003659954005,0.01081919572542815
Bicarbonate__max,0.031609887396359684,0.006718985628286461
% Hemoglobin A1c__max,0.029890917554798536,0.003957284337718702
SpO2 Alarm [Low]__max,0.029335434114113546,0.007990164616871537
Spon RR (Mech.)__last,0.028797929656668542,0.007782251854797679
Bicarbonate__min,0.028233270220387973,0.002907531438259212
Smoking Cessation Info Offered through BIDMC Inpatient Guide__max,0.028229838547238463,0.0065230947234544865
O2 Saturation Pulseoxymetry Alarm - Low__min,0.02794702391876176,0.006647812658612827
"Sodium, Whole Blood__min",0.02770911944759009,0.01183328983902663
"Sodium, Whole Blood__mean",0.027632578216037217,0.011909873736836104
Lactate Dehydrogenase (LD)__mean,0.027388556414468468,0.008071732483865973
SpO2 Desat Limit__last,0.02732216099918381,0.005464973371612777
White Blood Cells__max,0.02679360873256371,0.009883819512260804
SpO2 Desat Limit__min,0.025651980597618373,0.006673676117352738
White Blood Cells__min,0.025627287471259686,0.007535193278894323
"Hematocrit, Calculated__min",0.02543585979078724,0.006575232812038397
"Potassium, Whole Blood__mean",0.024712970381676636,0.009358631667571407
"Hematocrit, Calculated__mean",0.023424153309251915,0.008223393548948443
SpO2__mean,0.022968262991493904,0.005580086208219394
"Temp/Iso/Warmer [Temperature, degrees C]__mean",0.02257496340791998,0.008153138125737891
SpO2 Alarm [High]__last,0.022544600560705487,0.007351557805745872
Arterial O2 Saturation__max,0.022441351959858302,0.0037544710915221255
Heart Rate__mean,0.022182036832297046,0.003567860114927
PAP [Diastolic]__mean,0.021843867823886497,0.008234569991097472
HR Alarm [High]__last,0.02153986634379095,0.009047003022197818
Lactate__max,0.021223555601311127,0.003837332907483686
SpO2 Alarm [High]__mean,0.021146790564987604,0.006636801427533468
Currently experiencing pain__max,0.020967597545309257,0.00320501157830738
HR Alarm [High]__mean,0.02077467783303264,0.009071982468534212
White Blood Cells__last,0.02064860114558198,0.007998625348030829
Chloride__min,0.02055169367990244,0.003771557004387159
HR Alarm [Low]__mean,0.0203735450824869,0.009083447435313797
NBP [Systolic]__mean,0.02013079150795174,0.0047191685208632555
"Potassium, Whole Blood__last",0.020089089219025746,0.005690509603168327
Temperature F__min,0.019619696013440158,0.0073068976001391065
Arterial Blood Pressure diastolic__mean,0.019601717030200173,0.006637167107787261
"Potassium, Whole Blood__min",0.01958664750897825,0.0056632831376698025
Platelet Count__mean,0.019500482672288634,0.004439690629929032
Arterial BP [Systolic]__mean,0.01947772918727535,0.0031082736669175116
SpO2 Alarm [Low]__last,0.019340462261293535,0.007370748243869891
SpO2 Alarm [Low]__mean,0.01867315103688747,0.006927167915223907
"Sodium, Urine__mean",0.018082157239263673,0.004935573403206068
HR Alarm [Low]__min,0.017095402005589122,0.008699164817751405
Temperature Fahrenheit__mean,0.01691434394615554,0.005832438996268236
Hemoglobin__max,0.01667263479388321,0.008976734249923818
"Chloride, Whole Blood__last",0.016510600139952515,0.00958212895552407
Heart rate Alarm - High__min,0.016410186399533268,0.005472570170964016
Temperature Celsius__mean,0.016142963503410025,0.005010671746892735
HR Alarm [Low]__last,0.016108348365553728,0.008437605847618369
Non Invasive Blood Pressure diastolic__min,0.016097232728612788,0.0072241355780118845
Lactate__mean,0.015896778255725285,0.004024173320619571
Chloride__max,0.01573377378112186,0.004943032503749321
SpO2 Alarm [High]__max,0.01568453673158494,0.008279512710683813
Temperature F__max,0.015440664133196603,0.004201178196526143
"Chloride, Whole Blood__max",0.015412390130507991,0.00820158687472748
Urea Nitrogen__min,0.01518134900563537,0.002900457601846625
"Creatinine, Urine__max",0.015125994625701389,0.006826135704458074
Hematocrit__min,0.014806326811662274,0.00752181470598287
Respiratory Rate (Total)__min,0.014746048726774652,0.0066744298699602245
Arterial O2 Saturation__mean,0.014656004607394158,0.003483357725716809
Hematocrit__last,0.014648395245193013,0.010819070091176242
SpO2 Alarm [Low]__min,0.014520155111626321,0.0053749833314245005
