feature,importance_mean,importance_std
"Potassium, Whole Blood__mean",0.07262209680782754,0.005191777031181784
age,0.07089610655490919,0.004928376145756203
"Chloride, Whole Blood__last",0.06762153586574904,0.004970054253325819
Temperature Fahrenheit__last,0.0668729792616227,0.0040218495708711196
Chloride__last,0.05984814632411799,0.004154789171445248
Chloride__mean,0.04333924065556061,0.002504675332938221
Temperature F__last,0.04304726554997991,0.0016033887809752724
Bicarbonate__last,0.042712506726551115,0.004848842982605293
CK-MB Index__mean,0.042374483663908835,0.0037989128970725514
SpO2 Desat Limit__mean,0.04172429791919006,0.0027249074261529683
SpO2__last,0.04052270928051729,0.002519087646538077
"Chloride, Whole Blood__min",0.03694136348856525,0.0018281252770965303
"Sodium, Whole Blood__last",0.03610086942852986,0.0026078421495058964
Temperature C (calc)__mean,0.036003069018693545,0.0020858657384874506
"Chloride, Whole Blood__max",0.035157757828944924,0.0018365306238830694
"Potassium, Whole Blood__min",0.0333123851574092,0.003857314313287296
O2 Saturation Pulseoxymetry Alarm - Low__min,0.03298992269140637,0.0032979299523160067
Temperature C__mean,0.032742157427602,0.003577573927363465
Currently experiencing pain__mean,0.03191557599877792,0.002877604874687154
Temperature Fahrenheit__mean,0.030139196033727455,0.002227862932035326
Temperature C (calc)__last,0.029638404693405486,0.002008716638053468
gender_M,0.029360849285321722,0.003095197307731669
eth_WHITE,0.029090804796593473,0.0016852806271974688
Arterial Blood Pressure systolic__mean,0.02854032096028203,0.0023278362232431035
Sodium__max,0.028428132544591624,0.00283124562296235
Sodium__min,0.027777693266730054,0.0029150710082280966
O2 saturation pulseoxymetry__min,0.027561683029061833,0.0022590894367236405
Arterial Blood Pressure diastolic__last,0.026529105921710185,0.002793375543696148
gender_F,0.025778109061084332,0.003282069241734763
Chloride__max,0.02478378376665309,0.0021823759559374874
Chloride__min,0.02464792169375347,0.0021314715934410075
Heart Rate__last,0.023700309880883785,0.001417251609069378
Baseline Current/mA__last,0.02365384993246509,0.0007408775582243438
Prothrombin time__last,0.02353608378763299,0.0033094190182150155
PAP [Systolic]__mean,0.02327992023847323,0.0010803581686645008
O2 Saturation Pulseoxymetry Alarm - Low__last,0.02235487287531297,0.0022691980377429768
Prothrombin time__min,0.022207189819630102,0.0024178138984252834
Lactate Dehydrogenase (LD)__min,0.02088311298134058,0.0018618777131058375
"Sodium, Urine__last",0.020279197035183417,0.0023017847342392144
Temperature Fahrenheit__min,0.019080872635724156,0.0017484800607653788
BP Cuff [Diastolic]__mean,0.019066452938227195,0.0030845381305205505
