feature,importance_mean,importance_std
eth_OTHER,0.01261199563729909,0.00489525138992423
Hemoglobin__max,0.005029639211789472,0.003174285925172247
Potassium__std,0.004437078780771398,0.0017111257088977933
BP Cuff [Systolic]__last,0.004304884762923655,0.004176596388422246
Urea Nitrogen__mean,0.002815762420791823,0.0021199547474903793
Urea Nitrogen__max,0.002459912835502087,0.003410546355952714
White Blood Cells__max,0.002235511252157951,0.000643433651261032
BP Cuff [Systolic]__mean,0.002186796413752434,0.005140307392320383
SpO2 Desat Limit__mean,0.002134575300607189,0.0009503921284864576
Potassium__mean,0.0020259553852650216,0.0016316736030832055
White Blood Cells__range,0.0019686613639856797,0.0011508375909906744
White Blood Cells__mean,0.001886002802035791,0.00159787420770269
Non Invasive Blood Pressure diastolic__min,0.0017655212338506753,0.0005961491632891288
Temperature C (calc)__std,0.0017188206383807803,0.000993605666460294
Sodium__range,0.0017113604793600468,0.00045778146003073013
Hematocrit__last,0.0016625710393643578,0.0006499516172231345
Glucose__min,0.001521126424330954,0.0007265296777682517
Glucose__std,0.0014414519259893454,0.0021915757493742474
White Blood Cells__min,0.0014374980417083405,0.0008068809640226826
Glucose__last,0.0013681931644055733,0.001738062526822661
Sodium__min,0.001343052428505609,0.0012872571857980453
Heart Rate__range,0.0012772538259425924,0.002619106551734808
Respiratory Rate__max,0.0012709126907750167,0.0018688622490414082
Temperature F__std,0.0012570367949963801,0.0011483927552800057
White Blood Cells__last,0.0012314484495552502,0.001420253714412676
White Blood Cells__std,0.0011473724573913824,0.0018084153617323538
Temporary Venticular Sens Threshold mV__range,0.00114520901127535,0.0013587231145087903
Creatinine__mean,0.0010784405880396308,0.00041966503770801
"Hematocrit, Calculated__std",0.001069786803575612,0.0010941624012491605
"Potassium, Whole Blood__std",0.0010606854095702501,0.0009686005594204091
NBP [Systolic]__range,0.0010139102125101384,0.00023196841154376344
Sodium__max,0.0009715365092722638,0.0008024268418504455
"Sodium, Whole Blood__max",0.0008746290435927672,0.0001463797265136411
