feature,importance_mean,importance_std
BP Cuff [Systolic]__last,0.07828959442099481,0.011301103415277325
Potassium__mean,0.06632267873422001,0.006746895827117473
BP Cuff [Diastolic]__mean,0.06551026741686032,0.011752383444863863
Chloride__last,0.04427485016270618,0.006262150592890466
"Temp/Iso/Warmer [Temperature, degrees C]__last",0.04059699176547658,0.00921161865167285
"Sodium, Whole Blood__last",0.04049389236780985,0.012581787670005269
White Blood Cells__mean,0.03685057450684635,0.011303426905750456
White Blood Cells__min,0.03464870857187201,0.007837748514197725
SpO2 Desat Limit__min,0.034239742654354546,0.007390523061401332
Temperature Fahrenheit__mean,0.031137062517624714,0.006125037656778661
Lactate Dehydrogenase (LD)__mean,0.03020387122571917,0.008344152689501021
O2 Saturation Pulseoxymetry Alarm - Low__min,0.028278404182463635,0.005467301137802337
SpO2 Alarm [High]__min,0.02822566085818694,0.009268842569154528
SpO2 Desat Limit__max,0.028017671624688444,0.0072327973965896925
Creatinine__mean,0.028012524114964153,0.003953905253841643
SpO2 Alarm [High]__max,0.027490163780331246,0.009110301212100389
Bicarbonate__min,0.02695347994037851,0.0020551083450816715
Temperature C (calc)__mean,0.02675451749929514,0.007964819898720173
Bicarbonate__max,0.02657860694958585,0.00431222254094835
SpO2__last,0.025866758575825922,0.007375084372372592
Arterial Blood Pressure diastolic__mean,0.025837514752464586,0.007451882978858357
Spon RR (Mech.)__last,0.025568799824537147,0.00606272383312187
SpO2 Desat Limit__last,0.025454883196290346,0.004831961326672027
Heart Rate__std,0.02495863341823006,0.004296908001033425
Sodium__min,0.02426976233425404,0.005947986962694207
HR Alarm [High]__last,0.02398165099287266,0.008187409487113152
White Blood Cells__max,0.023727856382986735,0.007700010093259893
"Hematocrit, Calculated__mean",0.02355313945872082,0.008837189133216199
"Chloride, Whole Blood__last",0.022890080524956537,0.011937064927248279
Sodium__last,0.022473654448418333,0.005437517141170267
Sodium__max,0.022357350569284874,0.006184781808488297
"Potassium, Whole Blood__min",0.022127353866675147,0.005748700935039098
"Hematocrit, Calculated__range",0.021280924224180885,0.0085734896113181
HR Alarm [Low]__mean,0.02066240243977051,0.009482748171822503
Temperature F__mean,0.019432595225199956,0.006974130815661413
Non Invasive Blood Pressure diastolic__min,0.01877774246635855,0.004942498125930528
Heart rate Alarm - High__min,0.018498732518982486,0.005769453466597963
SpO2 Alarm [Low]__last,0.017973761128692332,0.00688949607490323
Temperature C (calc)__max,0.017884836033164975,0.004640305976861819
Temperature F__min,0.017573299792458474,0.004403240149392454
Temperature F__max,0.01751839302206577,0.0042023213060780286
NBP [Systolic]__mean,0.01750817260420734,0.005065235144037055
"Sodium, Whole Blood__mean",0.017444388244579945,0.011907100715848806
SpO2__min,0.017289440741718943,0.0036823856040494054
Temperature C (calc)__min,0.016774764370877458,0.004560141056541341
"Potassium, Whole Blood__mean",0.016662488977615176,0.009277241746532813
HR Alarm [High]__min,0.016533279023375803,0.007093946425246587
Temperature Celsius__mean,0.01642286866986866,0.004852617875739411
White Blood Cells__last,0.016363187397702705,0.005149950409212673
Lactate__mean,0.016285377939116264,0.005117537221156025
SpO2 Alarm [High]__last,0.0161595996580264,0.005803181252130163
Temperature Fahrenheit__last,0.016098500955646466,0.004519646099074516
Respiratory Rate (Total)__min,0.016090294780723657,0.0065073837567926575
HR Alarm [High]__max,0.01576510644900917,0.00658551113489595
Hematocrit__last,0.015545703172208958,0.008764960903309145
PAP [Diastolic]__mean,0.015374343319502336,0.006902966553337617
O2 saturation pulseoxymetry__last,0.015281911949235205,0.005164070955106538
PAP [Systolic]__range,0.014901369237586804,0.007681719416619665
"Sodium, Urine__mean",0.014683607195771109,0.005263433008873934
Hematocrit__min,0.01385053123792399,0.007141226446386286
Hematocrit__max,0.013739076462153953,0.008066453542288713
PAP [Systolic]__mean,0.013519374778992876,0.006397936767985942
PAP [Diastolic]__std,0.013222012840425878,0.006723480963494785
"Creatinine, Urine__mean",0.012812524711776917,0.0060905506982339725
