number,value,datetime_start,datetime_complete,duration,params_C,params_feature_select_C,params_min_recall,params_model_type,params_phenotype_clusters,params_pos_weight,params_stack_readmission,user_attrs_summary,state
0,0.6001071278835379,2025-09-12 15:58:26.896414,2025-09-12 16:01:11.625450,0 days 00:02:44.729036,0.12889754355048916,0.06588411868783546,,logreg,6,0.9247558427376338,0,"{'model_type': 'logreg', 'pos_weight': 0.9247558427376338, 'C': 0.12889754355048916, 'min_recall': None, 'feature_select_C': 0.06588411868783546, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6001071278835379, 'pr_auc': 0.05961749299205431, 'f1': 0.1211453744493392, 'precision': 0.08308157099697885, 'recall': 0.22357723577235772, 'brier': 0.041171813543659015, 'ece': 0.00488966638477834, 'threshold': 0.0668207746214077, 'run_dir': 'project/tuning/logistic_joint\\trial_0\\logreg_pw0.9247558427376338_C0.12889754355048916_fs0.06588411868783546_ph6'}",COMPLETE
1,0.6080268326999658,2025-09-12 16:01:11.627194,2025-09-12 16:17:37.321587,0 days 00:16:25.694393,0.4756589878174337,0.974140020034156,,logreg,4,1.3060959670257444,1,"{'model_type': 'logreg', 'pos_weight': 1.3060959670257444, 'C': 0.4756589878174337, 'min_recall': None, 'feature_select_C': 0.974140020034156, 'phenotype_clusters': 4, 'stack_readmission': 1, 'roc_auc': 0.6080268326999658, 'pr_auc': 0.06204095325483373, 'f1': 0.11884368308351177, 'precision': 0.06843403205918619, 'recall': 0.45121951219512196, 'brier': 0.04110024393723885, 'ece': 0.007645431355171893, 'threshold': 0.0543785919026721, 'run_dir': 'project/tuning/logistic_joint\\trial_1\\logreg_pw1.3060959670257444_C0.4756589878174337_fs0.974140020034156_ph4_stack'}",COMPLETE
2,0.6169234453401609,2025-09-12 16:17:37.323339,2025-09-12 16:25:18.404906,0 days 00:07:41.081567,0.8213330777480216,0.6112093267997954,,logreg,6,1.0375635724355319,0,"{'model_type': 'logreg', 'pos_weight': 1.0375635724355319, 'C': 0.8213330777480216, 'min_recall': None, 'feature_select_C': 0.6112093267997954, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6169234453401609, 'pr_auc': 0.06341156493096087, 'f1': 0.1235632183908046, 'precision': 0.09555555555555556, 'recall': 0.17479674796747968, 'brier': 0.041060602553077474, 'ece': 0.00727480367255117, 'threshold': 0.06821546450253803, 'run_dir': 'project/tuning/logistic_joint\\trial_2\\logreg_pw1.0375635724355319_C0.8213330777480216_fs0.6112093267997954_ph6'}",COMPLETE
3,0.6110407369443487,2025-09-12 16:25:18.406670,2025-09-12 16:34:31.104000,0 days 00:09:12.697330,0.42569852236268724,0.6160892061159975,,logreg,4,2.920749255348655,1,"{'model_type': 'logreg', 'pos_weight': 2.920749255348655, 'C': 0.42569852236268724, 'min_recall': None, 'feature_select_C': 0.6160892061159975, 'phenotype_clusters': 4, 'stack_readmission': 1, 'roc_auc': 0.6110407369443487, 'pr_auc': 0.06252853998985014, 'f1': 0.12114989733059549, 'precision': 0.08104395604395605, 'recall': 0.23983739837398374, 'brier': 0.041102582892654754, 'ece': 0.0035513509938895713, 'threshold': 0.0626817422982722, 'run_dir': 'project/tuning/logistic_joint\\trial_3\\logreg_pw2.920749255348655_C0.42569852236268724_fs0.6160892061159975_ph4_stack'}",COMPLETE
4,0.6103137444477766,2025-09-12 16:34:31.105482,2025-09-12 16:44:55.731104,0 days 00:10:24.625622,0.3572311651287179,0.7871451949622682,,logreg,0,2.920467181057794,0,"{'model_type': 'logreg', 'pos_weight': 2.920467181057794, 'C': 0.3572311651287179, 'min_recall': None, 'feature_select_C': 0.7871451949622682, 'phenotype_clusters': 0, 'stack_readmission': 0, 'roc_auc': 0.6103137444477766, 'pr_auc': 0.06339429765457413, 'f1': 0.1244343891402715, 'precision': 0.08620689655172414, 'recall': 0.22357723577235772, 'brier': 0.04108387345108754, 'ece': 0.00577022228286801, 'threshold': 0.06561834121415375, 'run_dir': 'project/tuning/logistic_joint\\trial_4\\logreg_pw2.920467181057794_C0.3572311651287179_fs0.7871451949622682_ph0'}",COMPLETE
5,0.6102533171597087,2025-09-12 16:44:55.732580,2025-09-12 17:04:45.729088,0 days 00:19:49.996508,3.764947764828717,1.3792085219866872,,logreg,6,1.6902972550799265,1,"{'model_type': 'logreg', 'pos_weight': 1.6902972550799265, 'C': 3.764947764828717, 'min_recall': None, 'feature_select_C': 1.3792085219866872, 'phenotype_clusters': 6, 'stack_readmission': 1, 'roc_auc': 0.6102533171597087, 'pr_auc': 0.062065788889492754, 'f1': 0.11724723874256585, 'precision': 0.07411385606874328, 'recall': 0.2804878048780488, 'brier': 0.041079924177115354, 'ece': 0.004056542901215906, 'threshold': 0.05975375912147483, 'run_dir': 'project/tuning/logistic_joint\\trial_5\\logreg_pw1.6902972550799265_C3.764947764828717_fs1.3792085219866872_ph6_stack'}",COMPLETE
6,0.6119464002494677,2025-09-12 17:04:45.730797,2025-09-12 17:24:30.082938,0 days 00:19:44.352141,0.13981199807153466,1.4248342485979488,,logreg,4,1.4563343818722414,1,"{'model_type': 'logreg', 'pos_weight': 1.4563343818722414, 'C': 0.13981199807153466, 'min_recall': None, 'feature_select_C': 1.4248342485979488, 'phenotype_clusters': 4, 'stack_readmission': 1, 'roc_auc': 0.6119464002494677, 'pr_auc': 0.06327098330949876, 'f1': 0.1300639658848614, 'precision': 0.08815028901734104, 'recall': 0.24796747967479674, 'brier': 0.04108063856172769, 'ece': 0.006282340605486584, 'threshold': 0.06647358971904278, 'run_dir': 'project/tuning/logistic_joint\\trial_6\\logreg_pw1.4563343818722414_C0.13981199807153466_fs1.4248342485979488_ph4_stack'}",COMPLETE
7,0.6073718307379441,2025-09-12 17:24:30.084510,2025-09-12 17:41:57.513759,0 days 00:17:27.429249,0.48162284025388225,1.2934477026831157,,logreg,4,2.70299844552322,1,"{'model_type': 'logreg', 'pos_weight': 2.70299844552322, 'C': 0.48162284025388225, 'min_recall': None, 'feature_select_C': 1.2934477026831157, 'phenotype_clusters': 4, 'stack_readmission': 1, 'roc_auc': 0.6073718307379441, 'pr_auc': 0.06213498341847857, 'f1': 0.13245033112582782, 'precision': 0.08631319358816276, 'recall': 0.2845528455284553, 'brier': 0.041109317823581425, 'ece': 0.004992303138359048, 'threshold': 0.0627294598046998, 'run_dir': 'project/tuning/logistic_joint\\trial_7\\logreg_pw2.70299844552322_C0.48162284025388225_fs1.2934477026831157_ph4_stack'}",COMPLETE
8,0.604575017121065,2025-09-12 17:41:57.515450,2025-09-12 17:44:46.729398,0 days 00:02:49.213948,0.6647454868676707,0.05054653904761426,,logreg,6,2.4798710354205986,0,"{'model_type': 'logreg', 'pos_weight': 2.4798710354205986, 'C': 0.6647454868676707, 'min_recall': None, 'feature_select_C': 0.05054653904761426, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.604575017121065, 'pr_auc': 0.059530266063450674, 'f1': 0.11819235225955968, 'precision': 0.08265802269043761, 'recall': 0.2073170731707317, 'brier': 0.041130306573837344, 'ece': 0.006165796541409381, 'threshold': 0.06576269884008022, 'run_dir': 'project/tuning/logistic_joint\\trial_8\\logreg_pw2.4798710354205986_C0.6647454868676707_fs0.05054653904761426_ph6'}",COMPLETE
9,0.6024649111420459,2025-09-12 17:44:46.730927,2025-09-12 17:48:21.201227,0 days 00:03:34.470300,3.6179277923074378,0.06571020582028023,,logreg,0,1.1956486839056286,1,"{'model_type': 'logreg', 'pos_weight': 1.1956486839056286, 'C': 3.6179277923074378, 'min_recall': None, 'feature_select_C': 0.06571020582028023, 'phenotype_clusters': 0, 'stack_readmission': 1, 'roc_auc': 0.6024649111420459, 'pr_auc': 0.058211996468761046, 'f1': 0.11213389121338913, 'precision': 0.07060063224446786, 'recall': 0.27235772357723576, 'brier': 0.041174780766953585, 'ece': 0.004855141773883987, 'threshold': 0.061082295717906895, 'run_dir': 'project/tuning/logistic_joint\\trial_9\\logreg_pw1.1956486839056286_C3.6179277923074378_fs0.06571020582028023_ph0_stack'}",COMPLETE
10,0.6127893982188124,2025-09-12 17:48:21.202851,2025-09-12 17:53:58.357222,0 days 00:05:37.154371,1.4324678143536642,0.2982552056863965,,logreg,6,0.6070929480880249,0,"{'model_type': 'logreg', 'pos_weight': 0.6070929480880249, 'C': 1.4324678143536642, 'min_recall': None, 'feature_select_C': 0.2982552056863965, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6127893982188124, 'pr_auc': 0.06275336906093104, 'f1': 0.11910112359550562, 'precision': 0.08229813664596274, 'recall': 0.21544715447154472, 'brier': 0.041101427541001885, 'ece': 0.005705979122242837, 'threshold': 0.06652625713754733, 'run_dir': 'project/tuning/logistic_joint\\trial_10\\logreg_pw0.6070929480880249_C1.4324678143536642_fs0.2982552056863965_ph6'}",COMPLETE
11,0.6122522667693184,2025-09-12 17:53:58.358888,2025-09-12 17:59:50.644853,0 days 00:05:52.285965,1.4735326520968675,0.3024506597246696,,logreg,6,0.6001699929072755,0,"{'model_type': 'logreg', 'pos_weight': 0.6001699929072755, 'C': 1.4735326520968675, 'min_recall': None, 'feature_select_C': 0.3024506597246696, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6122522667693184, 'pr_auc': 0.06388198307825911, 'f1': 0.12359550561797752, 'precision': 0.0944206008583691, 'recall': 0.17886178861788618, 'brier': 0.041083061708673686, 'ece': 0.006136406639003201, 'threshold': 0.07096150527462032, 'run_dir': 'project/tuning/logistic_joint\\trial_11\\logreg_pw0.6001699929072755_C1.4735326520968675_fs0.3024506597246696_ph6'}",COMPLETE
